Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Estimate; SEX AND AGE - 20 to 24 years,Percent; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Percent; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Percent; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Percent; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Percent; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Percent; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Percent; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - Median age (years),Percent; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 65 years and over,Estimate; RACE - Total population,Percent; RACE - Total population,Estimate; RACE - Total population - Two or more races,Percent; RACE - Total population - Two or more races,Estimate; RACE - One race,Percent; RACE - One race,Estimate; RACE - Two or more races,Percent; RACE - Two or more races,Estimate; RACE - Race alone or in combination with one or more other races - Total population,Percent; RACE - Race alone or in combination with one or more other races - Total population,Estimate; RACE - Race alone or in combination with one or more other races - Total population - White,Percent; RACE - Race alone or in combination with one or more other races - Total population - White,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Estimate; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Percent; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Asian,Percent; RACE - Race alone or in combination with one or more other races - Total population - Asian,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Percent; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Percent; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Estimate; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total housing units,Percent; HISPANIC OR LATINO AND RACE - Total housing units,"Estimate; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population","Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population"
8600000US11560,11560, 11560,6264,6264,335,5.3,619,9.9,566,9,1032,16.5,432,6.9,404,6.4,605,9.7,45.5,(X),4792,4792,1303,1303,6264,6264,45,0.7,6219,99.3,45,0.7,6264,6264,5537,88.4,155,2.5,9,0.1,116,1.9,0,0,492,7.9,6264,6264,522,8.3,38,0.6,26,0.4,5,0.1,453,7.2,5742,91.7,2495,(X),4404,4404
8600000US11561,11561, 11561,37854,37854,2165,5.7,5782,15.3,4045,10.7,5789,15.3,3290,8.7,2955,7.8,3846,10.2,45.4,(X),31938,31938,7166,7166,37854,37854,1052,2.8,36802,97.2,1052,2.8,37854,37854,32132,84.9,2632,7,326,0.9,1393,3.7,0,0,2655,7,37854,37854,5177,13.7,231,0.6,774,2,184,0.5,3988,10.5,32677,86.3,18592,(X),29819,29819
8600000US11563,11563, 11563,22286,22286,1202,5.4,2605,11.7,2982,13.4,3314,14.9,1591,7.1,1508,6.8,1624,7.3,42.4,(X),17531,17531,3857,3857,22286,22286,757,3.4,21529,96.6,757,3.4,22286,22286,19246,86.4,1629,7.3,33,0.1,957,4.3,0,0,1245,5.6,22286,22286,4140,18.6,274,1.2,961,4.3,439,2,2466,11.1,18146,81.4,8432,(X),16812,16812
8600000US11565,11565, 11565,8750,8750,458,5.2,810,9.3,1001,11.4,1069,12.2,816,9.3,806,9.2,990,11.3,48.8,(X),7089,7089,1900,1900,8750,8750,244,2.8,8506,97.2,244,2.8,8750,8750,7635,87.3,749,8.6,45,0.5,420,4.8,0,0,145,1.7,8750,8750,565,6.5,135,1.5,66,0.8,0,0,364,4.2,8185,93.5,3305,(X),7033,7033
8600000US11566,11566, 11566,34288,34288,1960,5.7,3574,10.4,3893,11.4,5554,16.2,2745,8,2569,7.5,3115,9.1,42.9,(X),26322,26322,5284,5284,34288,34288,306,0.9,33982,99.1,306,0.9,34288,34288,31716,92.5,899,2.6,2,0,1409,4.1,0,0,568,1.7,34288,34288,2357,6.9,90,0.3,649,1.9,125,0.4,1493,4.4,31931,93.1,11680,(X),25762,25762
8600000US11568,11568, 11568,4704,4704,843,17.9,245,5.2,355,7.5,505,10.7,320,6.8,328,7,336,7.1,24,(X),3869,3869,580,580,4704,4704,183,3.9,4521,96.1,183,3.9,4704,4704,3255,69.2,526,11.2,69,1.5,902,19.2,4,0.1,135,2.9,4704,4704,341,7.2,41,0.9,113,2.4,11,0.2,176,3.7,4363,92.8,1124,(X),3600,3600
8600000US11569,11569, 11569,1179,1179,66,5.6,45,3.8,171,14.5,183,15.5,129,10.9,77,6.5,138,11.7,48.6,(X),913,913,234,234,1179,1179,0,0,1179,100,0,0,1179,1179,1179,100,0,0,0,0,0,0,0,0,0,0,1179,1179,41,3.5,0,0,30,2.5,0,0,11,0.9,1138,96.5,623,(X),904,904
8600000US11570,11570, 11570,27607,27607,1545,5.6,2840,10.3,3115,11.3,4433,16.1,1757,6.4,1854,6.7,2740,9.9,41.6,(X),20846,20846,4787,4787,27607,27607,1076,3.9,26531,96.1,1076,3.9,27607,27607,22992,83.3,3187,11.5,262,0.9,775,2.8,0,0,1678,6.1,27607,27607,3796,13.8,58,0.2,653,2.4,235,0.9,2850,10.3,23811,86.2,10496,(X),19813,19813
8600000US11572,11572, 11572,29374,29374,1696,5.8,3202,10.9,3475,11.8,4885,16.6,2337,8,2053,7,2668,9.1,43.8,(X),23422,23422,4896,4896,29374,29374,298,1,29076,99,298,1,29374,29374,27469,93.5,306,1,324,1.1,672,2.3,0,0,1073,3.7,29374,29374,3189,10.9,148,0.5,827,2.8,371,1.3,1843,6.3,26185,89.1,10701,(X),22664,22664
8600000US11575,11575, 11575,16122,16122,1175,7.3,3026,18.8,1979,12.3,2620,16.3,826,5.1,772,4.8,1156,7.2,35,(X),12640,12640,1869,1869,16122,16122,2229,13.8,13893,86.2,2229,13.8,16122,16122,4465,27.7,10062,62.4,1000,6.2,106,0.7,0,0,2887,17.9,16122,16122,6479,40.2,219,1.4,414,2.6,98,0.6,5748,35.7,9643,59.8,4643,(X),9570,9570
8600000US11576,11576, 11576,12196,12196,376,3.1,867,7.1,1198,9.8,1960,16.1,888,7.3,939,7.7,1621,13.3,49.5,(X),9518,9518,3006,3006,12196,12196,257,2.1,11939,97.9,257,2.1,12196,12196,10164,83.3,97,0.8,12,0.1,1969,16.1,0,0,211,1.7,12196,12196,299,2.5,14,0.1,39,0.3,13,0.1,233,1.9,11897,97.5,4770,(X),9002,9002
8600000US11577,11577, 11577,12977,12977,622,4.8,1270,9.8,1594,12.3,1967,15.2,958,7.4,737,5.7,1342,10.3,42.2,(X),9762,9762,2394,2394,12977,12977,172,1.3,12805,98.7,172,1.3,12977,12977,9906,76.3,608,4.7,87,0.7,2201,17,0,0,360,2.8,12977,12977,1308,10.1,49,0.4,356,2.7,32,0.2,871,6.7,11669,89.9,4618,(X),8887,8887
8600000US11579,11579, 11579,5238,5238,322,6.1,235,4.5,621,11.9,780,14.9,600,11.5,574,11,445,8.5,47.5,(X),4115,4115,844,844,5238,5238,113,2.2,5125,97.8,113,2.2,5238,5238,4835,92.3,283,5.4,0,0,99,1.9,0,0,142,2.7,5238,5238,370,7.1,18,0.3,47,0.9,43,0.8,262,5,4868,92.9,2063,(X),3878,3878
8600000US11580,11580, 11580,44122,44122,2867,6.5,5395,12.2,5717,13,6889,15.6,3616,8.2,2560,5.8,3481,7.9,40.2,(X),34417,34417,6351,6351,44122,44122,2193,5,41929,95,2193,5,44122,44122,16794,38.1,14692,33.3,164,0.4,7641,17.3,179,0.4,7087,16.1,44122,44122,11430,25.9,313,0.7,2839,6.4,176,0.4,8102,18.4,32692,74.1,13816,(X),30786,30786
8600000US11581,11581, 11581,21440,21440,1524,7.1,2548,11.9,2589,12.1,3100,14.5,1558,7.3,1398,6.5,1627,7.6,38.7,(X),16393,16393,3108,3108,21440,21440,556,2.6,20884,97.4,556,2.6,21440,21440,12507,58.3,4335,20.2,9,0,3620,16.9,17,0.1,1508,7,21440,21440,3114,14.5,0,0,998,4.7,14,0.1,2102,9.8,18326,85.5,7101,(X),14946,14946
8600000US11590,11590, 11590,47778,47778,3278,6.9,6992,14.6,6113,12.8,5826,12.2,3054,6.4,3400,7.1,4361,9.1,38.6,(X),37619,37619,7785,7785,47778,47778,1750,3.7,46028,96.3,1750,3.7,47778,47778,23933,50.1,12112,25.4,706,1.5,4777,10,35,0.1,8422,17.6,47778,47778,13759,28.8,1469,3.1,1011,2.1,208,0.4,11071,23.2,34019,71.2,14896,(X),30955,30955
8600000US11596,11596, 11596,10652,10652,505,4.7,963,9,1363,12.8,1767,16.6,719,6.7,638,6,968,9.1,41.8,(X),8100,8100,1770,1770,10652,10652,232,2.2,10420,97.8,232,2.2,10652,10652,8270,77.6,253,2.4,149,1.4,1873,17.6,0,0,339,3.2,10652,10652,854,8,42,0.4,129,1.2,108,1,575,5.4,9798,92,3702,(X),7401,7401
8600000US11598,11598, 11598,13575,13575,547,4,1603,11.8,1566,11.5,1268,9.3,863,6.4,911,6.7,1102,8.1,33.6,(X),9059,9059,2002,2002,13575,13575,164,1.2,13411,98.8,164,1.2,13575,13575,12461,91.8,532,3.9,1,0,386,2.8,84,0.6,275,2,13575,13575,957,7,18,0.1,122,0.9,1,0,816,6,12618,93,4235,(X),8686,8686
8600000US11691,11691, 11691,65356,65356,4403,6.7,9231,14.1,7077,10.8,7475,11.4,3992,6.1,3411,5.2,4314,6.6,31.9,(X),45489,45489,8407,8407,65356,65356,1053,1.6,64303,98.4,1053,1.6,65356,65356,27215,41.6,31186,47.7,196,0.3,2070,3.2,105,0.2,5706,8.7,65356,65356,18083,27.7,232,0.4,5448,8.3,251,0.4,12152,18.6,47273,72.3,21988,(X),37888,37888
8600000US11692,11692, 11692,20242,20242,1256,6.2,2858,14.1,2437,12,2804,13.9,1337,6.6,1024,5.1,1312,6.5,33.9,(X),14446,14446,2210,2210,20242,20242,492,2.4,19750,97.6,492,2.4,20242,20242,5202,25.7,12363,61.1,183,0.9,1285,6.3,24,0.1,1699,8.4,20242,20242,5312,26.2,241,1.2,2375,11.7,128,0.6,2568,12.7,14930,73.8,7231,(X),12222,12222
8600000US11693,11693, 11693,12709,12709,897,7.1,1419,11.2,1730,13.6,2089,16.4,837,6.6,809,6.4,1165,9.2,38.5,(X),9592,9592,1608,1608,12709,12709,664,5.2,12045,94.8,664,5.2,12709,12709,8430,66.3,2898,22.8,70,0.6,671,5.3,0,0,1313,10.3,12709,12709,3543,27.9,91,0.7,1485,11.7,1,0,1966,15.5,9166,72.1,5312,(X),8927,8927
8600000US11694,11694, 11694,21003,21003,761,3.6,2413,11.5,2014,9.6,3293,15.7,2066,9.8,1608,7.7,2418,11.5,49,(X),16936,16936,4493,4493,21003,21003,236,1.1,20767,98.9,236,1.1,21003,21003,17709,84.3,1589,7.6,268,1.3,652,3.1,0,0,1051,5,21003,21003,2895,13.8,101,0.5,1189,5.7,161,0.8,1444,6.9,18108,86.2,9417,(X),16000,16000
8600000US11697,11697, 11697,3702,3702,218,5.9,268,7.2,303,8.2,582,15.7,246,6.6,307,8.3,420,11.3,49.1,(X),2886,2886,893,893,3702,3702,0,0,3702,100,0,0,3702,3702,3560,96.2,12,0.3,0,0,9,0.2,0,0,121,3.3,3702,3702,180,4.9,0,0,128,3.5,1,0,51,1.4,3522,95.1,2400,(X),2875,2875
8600000US11701,11701, 11701,28604,28604,2184,7.6,3996,14,3642,12.7,3859,13.5,2020,7.1,1698,5.9,2225,7.8,38.4,(X),22490,22490,4376,4376,28604,28604,1307,4.6,27297,95.4,1307,4.6,28604,28604,11909,41.6,10660,37.3,717,2.5,397,1.4,20,0.1,6247,21.8,28604,28604,8908,31.1,476,1.7,647,2.3,433,1.5,7352,25.7,19696,68.9,9225,(X),19157,19157
8600000US11702,11702, 11702,13966,13966,703,5,1887,13.5,1653,11.8,2450,17.5,1073,7.7,1131,8.1,1160,8.3,43.9,(X),11298,11298,2106,2106,13966,13966,644,4.6,13322,95.4,644,4.6,13966,13966,12688,90.8,648,4.6,485,3.5,568,4.1,9,0.1,212,1.5,13966,13966,1207,8.6,94,0.7,307,2.2,77,0.6,729,5.2,12759,91.4,5594,(X),10914,10914
8600000US11703,11703, 11703,16353,16353,830,5.1,1958,12,1930,11.8,2850,17.4,1282,7.8,1163,7.1,1256,7.7,42.2,(X),12778,12778,2244,2244,16353,16353,246,1.5,16107,98.5,246,1.5,16353,16353,13835,84.6,1483,9.1,9,0.1,539,3.3,38,0.2,701,4.3,16353,16353,2602,15.9,30,0.2,625,3.8,102,0.6,1845,11.3,13751,84.1,5699,(X),11971,11971
8600000US11704,11704, 11704,40310,40310,2505,6.2,5384,13.4,4986,12.4,6627,16.4,2923,7.3,2080,5.2,3451,8.6,40.9,(X),31997,31997,6466,6466,40310,40310,1025,2.5,39285,97.5,1025,2.5,40310,40310,30668,76.1,5598,13.9,233,0.6,1990,4.9,99,0.2,2949,7.3,40310,40310,7902,19.6,564,1.4,2367,5.9,89,0.2,4882,12.1,32408,80.4,13379,(X),29664,29664
8600000US11705,11705, 11705,7498,7498,381,5.1,720,9.6,755,10.1,1288,17.2,673,9,585,7.8,746,9.9,45.3,(X),5780,5780,1237,1237,7498,7498,210,2.8,7288,97.2,210,2.8,7498,7498,7149,95.3,177,2.4,112,1.5,179,2.4,13,0.2,124,1.7,7498,7498,492,6.6,11,0.1,253,3.4,28,0.4,200,2.7,7006,93.4,2868,(X),5613,5613
8600000US11706,11706, 11706,69209,69209,5541,8,9695,14,8936,12.9,10099,14.6,4728,6.8,3588,5.2,3943,5.7,34.7,(X),51398,51398,6984,6984,69209,69209,5219,7.5,63990,92.5,5219,7.5,69209,69209,39341,56.8,15174,21.9,3256,4.7,2630,3.8,0,0,15256,22,69209,69209,30506,44.1,1419,2.1,6176,8.9,268,0.4,22643,32.7,38703,55.9,21441,(X),41685,41685
8600000US11709,11709, 11709,6752,6752,333,4.9,743,11,594,8.8,1112,16.5,498,7.4,598,8.9,835,12.4,47.6,(X),5517,5517,1447,1447,6752,6752,112,1.7,6640,98.3,112,1.7,6752,6752,6577,97.4,49,0.7,19,0.3,140,2.1,17,0.3,81,1.2,6752,6752,382,5.7,47,0.7,81,1.2,11,0.2,243,3.6,6370,94.3,2700,(X),5370,5370
8600000US11710,11710, 11710,34058,34058,1933,5.7,4317,12.7,3694,10.8,5443,16,2938,8.6,2171,6.4,3158,9.3,42.6,(X),26904,26904,5570,5570,34058,34058,625,1.8,33433,98.2,625,1.8,34058,34058,31203,91.6,648,1.9,119,0.3,2112,6.2,0,0,660,1.9,34058,34058,2402,7.1,234,0.7,624,1.8,68,0.2,1476,4.3,31656,92.9,11810,(X),26251,26251
8600000US11713,11713, 11713,9767,9767,499,5.1,1213,12.4,1095,11.2,1368,14,594,6.1,636,6.5,907,9.3,35.8,(X),7120,7120,1308,1308,9767,9767,207,2.1,9560,97.9,207,2.1,9767,9767,6785,69.5,2519,25.8,85,0.9,492,5,0,0,93,1,9767,9767,2080,21.3,282,2.9,528,5.4,12,0.1,1258,12.9,7687,78.7,3720,(X),6355,6355
8600000US11714,11714, 11714,22450,22450,1354,6,2364,10.5,2764,12.3,3417,15.2,1531,6.8,1436,6.4,2041,9.1,44.7,(X),17958,17958,4743,4743,22450,22450,214,1,22236,99,214,1,22450,22450,20251,90.2,206,0.9,48,0.2,1836,8.2,0,0,349,1.6,22450,22450,1816,8.1,164,0.7,192,0.9,71,0.3,1389,6.2,20634,91.9,8114,(X),16912,16912
8600000US11715,11715, 11715,4567,4567,276,6,548,12,464,10.2,886,19.4,340,7.4,264,5.8,384,8.4,44,(X),3584,3584,702,702,4567,4567,21,0.5,4546,99.5,21,0.5,4567,4567,4546,99.5,12,0.3,0,0,18,0.4,0,0,12,0.3,4567,4567,440,9.6,35,0.8,231,5.1,0,0,174,3.8,4127,90.4,1782,(X),3556,3556
8600000US11716,11716, 11716,9979,9979,758,7.6,997,10,1258,12.6,1808,18.1,604,6.1,675,6.8,952,9.5,42.1,(X),7904,7904,1393,1393,9979,9979,57,0.6,9922,99.4,57,0.6,9979,9979,9725,97.5,94,0.9,8,0.1,125,1.3,29,0.3,63,0.6,9979,9979,853,8.5,102,1,224,2.2,24,0.2,503,5,9126,91.5,3740,(X),7747,7747
8600000US11717,11717, 11717,63207,63207,4755,7.5,10552,16.7,9463,15,7926,12.5,3695,5.8,2882,4.6,2878,4.6,32.6,(X),46522,46522,5404,5404,63207,63207,3243,5.1,59964,94.9,3243,5.1,63207,63207,39962,63.2,10371,16.4,1786,2.8,1530,2.4,0,0,13825,21.9,63207,63207,42160,66.7,1860,2.9,6303,10,408,0.6,33589,53.1,21047,33.3,14730,(X),31868,31868
8600000US11718,11718, 11718,3096,3096,123,4,311,10,285,9.2,510,16.5,317,10.2,269,8.7,281,9.1,46.8,(X),2371,2371,510,510,3096,3096,64,2.1,3032,97.9,64,2.1,3096,3096,2812,90.8,94,3,6,0.2,94,3,0,0,154,5,3096,3096,280,9,8,0.3,157,5.1,0,0,115,3.7,2816,91,1139,(X),2360,2360
8600000US11719,11719, 11719,3588,3588,278,7.7,230,6.4,286,8,547,15.2,326,9.1,375,10.5,381,10.6,50.5,(X),2901,2901,796,796,3588,3588,137,3.8,3451,96.2,137,3.8,3588,3588,3243,90.4,321,8.9,34,0.9,11,0.3,0,0,123,3.4,3588,3588,446,12.4,8,0.2,127,3.5,48,1.3,263,7.3,3142,87.6,1246,(X),2714,2714
8600000US11720,11720, 11720,28966,28966,2287,7.9,3959,13.7,3680,12.7,4392,15.2,2029,7,1429,4.9,2099,7.2,36.9,(X),22552,22552,3810,3810,28966,28966,583,2,28383,98,583,2,28966,28966,25987,89.7,929,3.2,132,0.5,1828,6.3,114,0.4,610,2.1,28966,28966,4423,15.3,133,0.5,1652,5.7,302,1,2336,8.1,24543,84.7,9455,(X),21231,21231
8600000US11721,11721, 11721,6063,6063,319,5.3,307,5.1,801,13.2,974,16.1,625,10.3,507,8.4,582,9.6,46.3,(X),4663,4663,1056,1056,6063,6063,65,1.1,5998,98.9,65,1.1,6063,6063,5977,98.6,42,0.7,51,0.8,58,1,0,0,0,0,6063,6063,189,3.1,0,0,123,2,12,0.2,54,0.9,5874,96.9,2492,(X),4577,4577
8600000US11722,11722, 11722,34123,34123,2841,8.3,5078,14.9,4630,13.6,4738,13.9,2326,6.8,1809,5.3,2021,5.9,34.3,(X),25758,25758,3303,3303,34123,34123,2220,6.5,31903,93.5,2220,6.5,34123,34123,18138,53.2,10378,30.4,869,2.5,1314,3.9,53,0.2,6822,20,34123,34123,15633,45.8,397,1.2,2927,8.6,78,0.2,12231,35.8,18490,54.2,10300,(X),19348,19348
8600000US11724,11724, 11724,3386,3386,165,4.9,299,8.8,381,11.3,609,18,264,7.8,253,7.5,248,7.3,41.1,(X),2489,2489,443,443,3386,3386,94,2.8,3292,97.2,94,2.8,3386,3386,3017,89.1,8,0.2,34,1,400,11.8,22,0.6,7,0.2,3386,3386,104,3.1,0,0,0,0,8,0.2,96,2.8,3282,96.9,1165,(X),2203,2203
8600000US11725,11725, 11725,29557,29557,1873,6.3,2789,9.4,2599,8.8,5597,18.9,2398,8.1,2018,6.8,2651,9,47.4,(X),23646,23646,5788,5788,29557,29557,596,2,28961,98,596,2,29557,29557,27205,92,658,2.2,93,0.3,1976,6.7,0,0,278,0.9,29557,29557,1721,5.8,128,0.4,477,1.6,112,0.4,1004,3.4,27836,94.2,10189,(X),23012,23012
8600000US11726,11726, 11726,20490,20490,1242,6.1,3000,14.6,2980,14.5,2632,12.8,1660,8.1,1542,7.5,1343,6.6,36.8,(X),15771,15771,2282,2282,20490,20490,1309,6.4,19181,93.6,1309,6.4,20490,20490,12208,59.6,4371,21.3,715,3.5,867,4.2,41,0.2,4508,22,20490,20490,8136,39.7,92,0.4,840,4.1,31,0.2,7173,35,12354,60.3,6431,(X),12689,12689
8600000US11727,11727, 11727,30241,30241,1678,5.5,4490,14.8,3667,12.1,4876,16.1,2156,7.1,1758,5.8,2488,8.2,39.2,(X),23221,23221,4102,4102,30241,30241,718,2.4,29523,97.6,718,2.4,30241,30241,22938,75.9,4218,13.9,253,0.8,2561,8.5,97,0.3,971,3.2,30241,30241,6386,21.1,160,0.5,2803,9.3,87,0.3,3336,11,23855,78.9,12058,(X),21247,21247
8600000US11729,11729, 11729,27731,27731,1875,6.8,3567,12.9,3656,13.2,4409,15.9,2105,7.6,1451,5.2,2059,7.4,40.3,(X),21551,21551,4028,4028,27731,27731,825,3,26906,97,825,3,27731,27731,19913,71.8,4350,15.7,137,0.5,2664,9.6,0,0,1534,5.5,27731,27731,4361,15.7,144,0.5,1891,6.8,15,0.1,2311,8.3,23370,84.3,9372,(X),19985,19985
8600000US11730,11730, 11730,13966,13966,950,6.8,1328,9.5,1579,11.3,2836,20.3,766,5.5,859,6.2,1086,7.8,41.2,(X),10634,10634,1892,1892,13966,13966,20,0.1,13946,99.9,20,0.1,13966,13966,13177,94.4,164,1.2,0,0,208,1.5,0,0,437,3.1,13966,13966,1037,7.4,0,0,392,2.8,0,0,645,4.6,12929,92.6,4815,(X),10394,10394
8600000US11731,11731, 11731,30091,30091,1937,6.4,2649,8.8,3393,11.3,5517,18.3,2471,8.2,1850,6.1,2535,8.4,44.1,(X),23295,23295,4831,4831,30091,30091,208,0.7,29883,99.3,208,0.7,30091,30091,28170,93.6,513,1.7,71,0.2,1130,3.8,23,0.1,392,1.3,30091,30091,2303,7.7,127,0.4,803,2.7,99,0.3,1274,4.2,27788,92.3,10788,(X),22513,22513
8600000US11732,11732, 11732,3607,3607,165,4.6,344,9.5,235,6.5,675,18.7,260,7.2,278,7.7,510,14.1,49.1,(X),2911,2911,865,865,3607,3607,117,3.2,3490,96.8,117,3.2,3607,3607,3486,96.6,54,1.5,69,1.9,124,3.4,0,0,6,0.2,3607,3607,313,8.7,7,0.2,78,2.2,47,1.3,181,5,3294,91.3,1511,(X),2857,2857
8600000US11733,11733, 11733,16869,16869,1203,7.1,1089,6.5,1845,10.9,2852,16.9,1336,7.9,1302,7.7,1953,11.6,45.7,(X),13127,13127,3228,3228,16869,16869,452,2.7,16417,97.3,452,2.7,16869,16869,14552,86.3,449,2.7,104,0.6,1935,11.5,0,0,303,1.8,16869,16869,846,5,76,0.5,301,1.8,31,0.2,438,2.6,16023,95,6172,(X),12195,12195
8600000US11735,11735, 11735,34034,34034,2389,7,4166,12.2,3986,11.7,5628,16.5,2733,8,1967,5.8,2739,8,42.1,(X),27001,27001,5245,5245,34034,34034,786,2.3,33248,97.7,786,2.3,34034,34034,28408,83.5,1718,5,474,1.4,2765,8.1,90,0.3,1640,4.8,34034,34034,4885,14.4,201,0.6,1181,3.5,114,0.3,3389,10,29149,85.6,12139,(X),25187,25187
8600000US11738,11738, 11738,17146,17146,1251,7.3,2051,12,2210,12.9,2902,16.9,1492,8.7,1012,5.9,1325,7.7,40.3,(X),13277,13277,2012,2012,17146,17146,280,1.6,16866,98.4,280,1.6,17146,17146,15302,89.2,590,3.4,216,1.3,1223,7.1,0,0,312,1.8,17146,17146,2606,15.2,475,2.8,981,5.7,129,0.8,1021,6,14540,84.8,5440,(X),12410,12410
8600000US11739,11739, 11739,1042,1042,12,1.2,64,6.1,103,9.9,251,24.1,60,5.8,52,5,98,9.4,46,(X),761,761,164,164,1042,1042,8,0.8,1034,99.2,8,0.8,1042,1042,1027,98.6,0,0,0,0,23,2.2,0,0,0,0,1042,1042,63,6,0,0,0,0,0,0,63,6,979,94,340,(X),754,754
8600000US11740,11740, 11740,8908,8908,467,5.2,601,6.7,1006,11.3,1617,18.2,463,5.2,579,6.5,1003,11.3,45.5,(X),6749,6749,1857,1857,8908,8908,209,2.3,8699,97.7,209,2.3,8908,8908,7840,88,878,9.9,6,0.1,330,3.7,9,0.1,67,0.8,8908,8908,213,2.4,0,0,79,0.9,13,0.1,121,1.4,8695,97.6,3565,(X),6676,6676
8600000US11741,11741, 11741,27028,27028,1769,6.5,3323,12.3,3309,12.2,4380,16.2,2111,7.8,1875,6.9,2913,10.8,42.3,(X),21425,21425,4073,4073,27028,27028,526,1.9,26502,98.1,526,1.9,27028,27028,25370,93.9,1006,3.7,227,0.8,725,2.7,83,0.3,221,0.8,27028,27028,2567,9.5,402,1.5,1389,5.1,124,0.5,652,2.4,24461,90.5,9578,(X),20830,20830
8600000US11742,11742, 11742,13158,13158,722,5.5,1479,11.2,1912,14.5,2411,18.3,1018,7.7,645,4.9,1192,9.1,42.2,(X),10088,10088,1664,1664,13158,13158,84,0.6,13074,99.4,84,0.6,13158,13158,12141,92.3,431,3.3,40,0.3,456,3.5,0,0,174,1.3,13158,13158,1896,14.4,418,3.2,633,4.8,52,0.4,793,6,11262,85.6,4730,(X),9742,9742
8600000US11743,11743, 11743,42167,42167,2175,5.2,3406,8.1,4523,10.7,7462,17.7,3824,9.1,3059,7.3,3789,9,46.3,(X),32932,32932,7631,7631,42167,42167,702,1.7,41465,98.3,702,1.7,42167,42167,36508,86.6,2934,7,255,0.6,1853,4.4,65,0.2,1342,3.2,42167,42167,3722,8.8,314,0.7,980,2.3,35,0.1,2393,5.7,38445,91.2,16644,(X),31392,31392
8600000US11746,11746, 11746,68934,68934,3635,5.3,7962,11.6,9133,13.2,11039,16,4779,6.9,4288,6.2,5580,8.1,40,(X),51833,51833,9536,9536,68934,68934,1015,1.5,67919,98.5,1015,1.5,68934,68934,49013,71.1,4788,6.9,218,0.3,7165,10.4,33,0,8790,12.8,68934,68934,15368,22.3,595,0.9,2553,3.7,168,0.2,12052,17.5,53566,77.7,23009,(X),45736,45736
8600000US11747,11747, 11747,19456,19456,999,5.1,1271,6.5,2161,11.1,3411,17.5,1118,5.7,1228,6.3,2395,12.3,48.4,(X),15597,15597,5077,5077,19456,19456,236,1.2,19220,98.8,236,1.2,19456,19456,16843,86.6,1124,5.8,6,0,1396,7.2,41,0.2,282,1.4,19456,19456,1582,8.1,130,0.7,546,2.8,107,0.5,799,4.1,17874,91.9,7847,(X),14940,14940
