Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Estimate; SEX AND AGE - 20 to 24 years,Percent; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Percent; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Percent; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Percent; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Percent; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Percent; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Percent; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - Median age (years),Percent; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 65 years and over,Estimate; RACE - Total population,Percent; RACE - Total population,Estimate; RACE - Total population - Two or more races,Percent; RACE - Total population - Two or more races,Estimate; RACE - One race,Percent; RACE - One race,Estimate; RACE - Two or more races,Percent; RACE - Two or more races,Estimate; RACE - Race alone or in combination with one or more other races - Total population,Percent; RACE - Race alone or in combination with one or more other races - Total population,Estimate; RACE - Race alone or in combination with one or more other races - Total population - White,Percent; RACE - Race alone or in combination with one or more other races - Total population - White,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Estimate; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Percent; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Asian,Percent; RACE - Race alone or in combination with one or more other races - Total population - Asian,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Percent; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Percent; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Estimate; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total housing units,Percent; HISPANIC OR LATINO AND RACE - Total housing units,"Estimate; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population","Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population"
8600000US10010,10010, 10010,33119,33119,3134,9.5,9148,27.6,4719,14.2,3890,11.7,1960,5.9,1122,3.4,2726,8.2,34.6,(X),29766,29766,4521,4521,33119,33119,1132,3.4,31987,96.6,1132,3.4,33119,33119,25456,76.9,2589,7.8,636,1.9,5393,16.3,7,0,385,1.2,33119,33119,4223,12.8,551,1.7,1283,3.9,348,1.1,2041,6.2,28896,87.2,17847,(X),26519,26519
8600000US10011,10011, 10011,50711,50711,2917,5.8,12732,25.1,8554,16.9,6203,12.2,3447,6.8,3390,6.7,4611,9.1,39.8,(X),45856,45856,8107,8107,50711,50711,1459,2.9,49252,97.1,1459,2.9,50711,50711,41083,81,3343,6.6,399,0.8,6078,12,4,0,1350,2.7,50711,50711,5640,11.1,302,0.6,1566,3.1,521,1,3251,6.4,45071,88.9,33543,(X),40321,40321
8600000US10012,10012, 10012,24527,24527,2861,11.7,7349,30,3767,15.4,2712,11.1,923,3.8,1274,5.2,2006,8.2,34.5,(X),22465,22465,3292,3292,24527,24527,1061,4.3,23466,95.7,1061,4.3,24527,24527,19162,78.1,1180,4.8,154,0.6,4854,19.8,21,0.1,354,1.4,24527,24527,1609,6.6,379,1.5,381,1.6,106,0.4,743,3,22918,93.4,14180,(X),18676,18676
8600000US10013,10013, 10013,29619,29619,1847,6.2,5910,20,5259,17.8,3299,11.1,1340,4.5,1927,6.5,2531,8.5,37.8,(X),24739,24739,4697,4697,29619,29619,1374,4.6,28245,95.4,1374,4.6,29619,29619,17154,57.9,1550,5.2,133,0.4,11455,38.7,52,0.2,816,2.8,29619,29619,1804,6.1,202,0.7,435,1.5,27,0.1,1140,3.8,27815,93.9,14178,(X),20551,20551
8600000US10014,10014, 10014,31794,31794,1169,3.7,10072,31.7,5137,16.2,4035,12.7,2018,6.3,1767,5.6,2706,8.5,36.8,(X),28781,28781,4383,4383,31794,31794,780,2.5,31014,97.5,780,2.5,31794,31794,29037,91.3,690,2.2,104,0.3,2234,7,43,0.1,546,1.7,31794,31794,1989,6.3,315,1,351,1.1,254,0.8,1069,3.4,29805,93.7,21756,(X),25193,25193
8600000US10016,10016, 10016,51448,51448,5322,10.3,17104,33.2,5831,11.3,5266,10.2,3087,6,2094,4.1,4123,8,33.3,(X),47080,47080,7565,7565,51448,51448,2065,4,49383,96,2065,4,51448,51448,37595,73.1,2575,5,359,0.7,11770,22.9,20,0,1259,2.4,51448,51448,4827,9.4,317,0.6,1522,3,286,0.6,2702,5.3,46621,90.6,35421,(X),41225,41225
8600000US10017,10017, 10017,16388,16388,1042,6.4,4242,25.9,2619,16,1925,11.7,1019,6.2,870,5.3,2116,12.9,39.9,(X),15193,15193,3366,3366,16388,16388,237,1.4,16151,98.6,237,1.4,16388,16388,12714,77.6,455,2.8,9,0.1,3429,20.9,5,0,75,0.5,16388,16388,1148,7,38,0.2,479,2.9,74,0.5,557,3.4,15240,93,12720,(X),13185,13185
8600000US10018,10018, 10018,9719,9719,936,9.6,3960,40.7,1884,19.4,951,9.8,415,4.3,298,3.1,293,3,32,(X),8960,8960,424,424,9719,9719,411,4.2,9308,95.8,411,4.2,9719,9719,5936,61.1,730,7.5,4,0,3149,32.4,50,0.5,261,2.7,9719,9719,1611,16.6,365,3.8,267,2.7,137,1.4,842,8.7,8108,83.4,5859,(X),6303,6303
8600000US10019,10019, 10019,41592,41592,2650,6.4,12111,29.1,6755,16.2,5366,12.9,2789,6.7,2352,5.7,4110,9.9,39.6,(X),38873,38873,6629,6629,41592,41592,1486,3.6,40106,96.4,1486,3.6,41592,41592,29981,72.1,3125,7.5,395,0.9,7525,18.1,70,0.2,2118,5.1,41592,41592,6697,16.1,935,2.2,2132,5.1,174,0.4,3456,8.3,34895,83.9,32827,(X),32398,32398
8600000US10020,10020, 10020,0,0,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,(X),0,0,0,0,0,0,0,-,0,-,0,-,0,0,0,-,0,-,0,-,0,-,0,-,0,-,0,0,0,-,0,-,0,-,0,-,0,-,0,-,0,(X),0,0
8600000US10021,10021, 10021,44983,44983,1057,2.3,9680,21.5,7058,15.7,4543,10.1,2841,6.3,2286,5.1,5334,11.9,40.2,(X),38098,38098,10330,10330,44983,44983,1232,2.7,43751,97.3,1232,2.7,44983,44983,37406,83.2,946,2.1,360,0.8,5511,12.3,144,0.3,1861,4.1,44983,44983,3512,7.8,858,1.9,531,1.2,247,0.5,1876,4.2,41471,92.2,30615,(X),34448,34448
8600000US10022,10022, 10022,30807,30807,1123,3.6,6409,20.8,4104,13.3,3557,11.5,1757,5.7,2096,6.8,4462,14.5,47.7,(X),28198,28198,8830,8830,30807,30807,600,1.9,30207,98.1,600,1.9,30807,30807,26497,86,667,2.2,94,0.3,3956,12.8,0,0,330,1.1,30807,30807,1922,6.2,276,0.9,489,1.6,177,0.6,980,3.2,28885,93.8,23904,(X),26108,26108
8600000US10023,10023, 10023,61514,61514,2394,3.9,10939,17.8,10192,16.6,8182,13.3,4047,6.6,3556,5.8,7358,12,42.6,(X),52999,52999,12825,12825,61514,61514,1435,2.3,60079,97.7,1435,2.3,61514,61514,50337,81.8,2859,4.6,234,0.4,7619,12.4,18,0,1977,3.2,61514,61514,6730,10.9,946,1.5,2250,3.7,436,0.7,3098,5,54784,89.1,41182,(X),45898,45898
8600000US10024,10024, 10024,58512,58512,1508,2.6,10659,18.2,8919,15.2,8747,14.9,4009,6.9,3690,6.3,6518,11.1,43.1,(X),49057,49057,11165,11165,58512,58512,1574,2.7,56938,97.3,1574,2.7,58512,58512,49697,84.9,3185,5.4,248,0.4,4904,8.4,331,0.6,1890,3.2,58512,58512,6260,10.7,759,1.3,1595,2.7,299,0.5,3607,6.2,52252,89.3,33872,(X),44370,44370
8600000US10025,10025, 10025,94382,94382,6212,6.6,16950,18,12433,13.2,12406,13.1,5558,5.9,6897,7.3,10831,11.5,41.7,(X),80868,80868,18159,18159,94382,94382,3700,3.9,90682,96.1,3700,3.9,94382,94382,63916,67.7,13837,14.7,1455,1.5,10393,11,145,0.2,8612,9.1,94382,94382,22719,24.1,1452,1.5,6076,6.4,1202,1.3,13989,14.8,71663,75.9,48734,(X),69622,69622
