Id,Id2,Geography,Estimate; Total:,Estimate; Owner-occupied housing units:,Estimate; Owner-occupied housing units: - Less than high school graduate,Estimate; Owner-occupied housing units: - High school graduate (including equivalency),Estimate; Owner-occupied housing units: - Some college or associate's degree,Estimate; Owner-occupied housing units: - Bachelor's degree or higher,Estimate; Renter-occupied housing units:,Estimate; Renter-occupied housing units: - Less than high school graduate,Estimate; Renter-occupied housing units: - High school graduate (including equivalency),Estimate; Renter-occupied housing units: - Some college or associate's degree,Estimate; Renter-occupied housing units: - Bachelor's degree or higher
8600000US10303,10303, 10303,8269,4916,534,1254,1463,1665,3353,890,1044,930,489
8600000US10304,10304, 10304,14521,7864,735,2190,1481,3458,6657,1820,2362,1555,920
8600000US10305,10305, 10305,14694,9729,890,2597,2612,3630,4965,640,1545,1366,1414
8600000US10306,10306, 10306,19861,13967,870,4757,3555,4785,5894,866,2137,1752,1139
8600000US10307,10307, 10307,5156,3897,148,1212,1187,1350,1259,182,295,289,493
8600000US10308,10308, 10308,10653,8827,533,2836,2408,3050,1826,195,642,526,463
8600000US10309,10309, 10309,11455,9807,624,2587,3015,3581,1648,178,447,394,629
8600000US10310,10310, 10310,8218,5070,366,1173,1377,2154,3148,599,1148,772,629
8600000US10311,10311, 10311,0,0,0,0,0,0,0,0,0,0,0
8600000US10312,10312, 10312,21230,18223,1040,5382,5577,6224,3007,180,1120,734,973
8600000US10314,10314, 10314,31307,23107,1561,6831,6232,8483,8200,1049,2986,2373,1792
8600000US10451,10451, 10451,18783,2505,278,575,645,1007,16278,5308,4090,4111,2769
8600000US10452,10452, 10452,25949,783,179,158,258,188,25166,8701,6154,7030,3281
8600000US10453,10453, 10453,27338,1081,146,180,386,369,26257,8646,7461,6695,3455
8600000US10454,10454, 10454,13085,727,232,88,187,220,12358,5241,3371,2516,1230
8600000US10455,10455, 10455,14202,1026,222,255,290,259,13176,5486,3414,3011,1265
8600000US10456,10456, 10456,30096,1842,390,309,658,485,28254,9781,7516,7489,3468
8600000US10457,10457, 10457,24245,1492,208,489,375,420,22753,8389,5554,6116,2694
8600000US10458,10458, 10458,27228,1115,172,208,341,394,26113,8215,6711,7006,4181
8600000US10459,10459, 10459,16066,1645,353,379,498,415,14421,5609,3955,3371,1486
8600000US10460,10460, 10460,20359,2162,529,627,519,487,18197,7038,4097,4960,2102
8600000US10461,10461, 10461,19013,6303,1061,1830,1323,2089,12710,2298,3395,3600,3417
8600000US10462,10462, 10462,29679,6808,961,1845,1776,2226,22871,4423,6155,6738,5555
8600000US10463,10463, 10463,28537,9140,619,1224,1788,5509,19397,3994,3692,4778,6933
8600000US10464,10464, 10464,1936,1193,7,303,264,619,743,92,74,303,274
8600000US10465,10465, 10465,15685,8881,1088,2335,2484,2974,6804,1195,1866,2326,1417
8600000US10466,10466, 10466,23312,9208,1130,2584,2481,3013,14104,3331,4116,4076,2581
8600000US10467,10467, 10467,36335,4851,1003,1123,1278,1447,31484,7880,8737,8243,6624
8600000US10468,10468, 10468,25557,2058,213,411,463,971,23499,7311,6577,5882,3729
8600000US10469,10469, 10469,22038,11190,1805,2367,3021,3997,10848,2277,3175,3354,2042
8600000US10470,10470, 10470,5925,2254,304,644,491,815,3671,658,957,868,1188
8600000US10471,10471, 10471,8726,4371,138,458,775,3000,4355,250,617,1162,2326
8600000US10472,10472, 10472,21813,3196,900,806,840,650,18617,7159,4689,4608,2161
8600000US10473,10473, 10473,20890,6068,1002,1276,1984,1806,14822,4192,4635,3886,2109
8600000US10474,10474, 10474,3514,238,73,53,51,61,3276,1224,826,820,406
8600000US10475,10475, 10475,18792,7865,716,1730,2577,2842,10927,1816,3400,3462,2249
8600000US10501,10501, 10501,403,395,15,55,145,180,8,0,8,0,0
8600000US10502,10502, 10502,1948,1633,26,124,249,1234,315,31,52,95,137
8600000US10503,10503, 10503,95,95,0,13,13,69,0,0,0,0,0
8600000US10504,10504, 10504,2653,2463,71,46,271,2075,190,0,12,4,174
8600000US10505,10505, 10505,297,174,0,20,12,142,123,0,80,31,12
8600000US10506,10506, 10506,1997,1878,35,159,284,1400,119,8,0,0,111
8600000US10507,10507, 10507,2097,960,64,52,153,691,1137,379,173,257,328
8600000US10509,10509, 10509,6937,5247,191,1056,1277,2723,1690,392,423,527,348
8600000US10510,10510, 10510,3578,2943,78,159,350,2356,635,92,181,133,229
8600000US10511,10511, 10511,759,584,31,145,188,220,175,9,30,89,47
8600000US10512,10512, 10512,9071,7323,392,1653,2060,3218,1748,190,704,442,412
8600000US10514,10514, 10514,4046,3850,0,54,328,3468,196,0,0,8,188
8600000US10516,10516, 10516,2160,1593,19,254,352,968,567,21,63,216,267
8600000US10517,10517, 10517,139,116,7,51,3,55,23,0,10,13,0
8600000US10518,10518, 10518,425,406,15,15,37,339,19,0,0,19,0
8600000US10519,10519, 10519,97,97,0,31,11,55,0,0,0,0,0
8600000US10520,10520, 10520,5260,3232,70,337,491,2334,2028,251,369,684,724
8600000US10522,10522, 10522,3679,2231,47,294,250,1640,1448,151,144,385,768
8600000US10523,10523, 10523,2909,1516,109,318,419,670,1393,303,80,359,651
8600000US10524,10524, 10524,1447,1315,15,243,277,780,132,0,8,15,109
8600000US10526,10526, 10526,650,532,10,36,99,387,118,31,0,44,43
8600000US10527,10527, 10527,251,251,0,5,63,183,0,0,0,0,0
8600000US10528,10528, 10528,4728,2739,90,677,605,1367,1989,127,328,324,1210
8600000US10530,10530, 10530,5781,4608,87,436,829,3256,1173,54,129,271,719
8600000US10532,10532, 10532,1672,1414,87,340,275,712,258,21,84,108,45
8600000US10533,10533, 10533,2549,2101,29,195,230,1647,448,0,55,131,262
8600000US10535,10535, 10535,216,92,0,15,33,44,124,0,32,0,92
8600000US10536,10536, 10536,3519,3152,18,333,469,2332,367,0,57,58,252
8600000US10537,10537, 10537,629,559,35,74,179,271,70,0,14,26,30
8600000US10538,10538, 10538,5898,4665,77,191,397,4000,1233,67,121,250,795
8600000US10541,10541, 10541,8901,7534,297,1830,2252,3155,1367,241,376,318,432
8600000US10543,10543, 10543,7563,4318,305,670,681,2662,3245,345,475,809,1616
8600000US10545,10545, 10545,0,0,0,0,0,0,0,0,0,0,0
8600000US10546,10546, 10546,480,428,38,30,43,317,52,0,0,26,26
8600000US10547,10547, 10547,2513,1901,47,378,609,867,612,92,119,178,223
8600000US10548,10548, 10548,1289,888,44,196,286,362,401,4,158,112,127
8600000US10549,10549, 10549,5829,3916,244,409,472,2791,1913,465,318,475,655
8600000US10550,10550, 10550,13243,3221,492,1062,808,859,10022,2014,3270,2916,1822
8600000US10552,10552, 10552,8390,4743,504,868,990,2381,3647,290,908,1116,1333
8600000US10553,10553, 10553,3362,1899,243,229,519,908,1463,233,414,486,330
8600000US10560,10560, 10560,1713,1416,9,210,201,996,297,12,27,79,179
8600000US10562,10562, 10562,10475,6119,551,898,1217,3453,4356,1191,1226,860,1079
8600000US10566,10566, 10566,9381,4537,486,935,1024,2092,4844,1463,1491,1170,720
8600000US10567,10567, 10567,6896,6120,196,1113,1390,3421,776,52,221,290,213
8600000US10570,10570, 10570,4089,3415,81,187,605,2542,674,60,128,194,292
8600000US10573,10573, 10573,12360,6416,513,1452,1068,3383,5944,1812,1587,1172,1373
8600000US10576,10576, 10576,1974,1723,9,108,250,1356,251,9,58,56,128
8600000US10577,10577, 10577,790,696,6,27,77,586,94,26,13,7,48
8600000US10578,10578, 10578,276,213,0,7,89,117,63,0,0,23,40
8600000US10579,10579, 10579,3114,2880,170,552,706,1452,234,0,130,63,41
8600000US10580,10580, 10580,5954,4633,77,360,564,3632,1321,99,207,192,823
8600000US10583,10583, 10583,13677,11857,163,705,1122,9867,1820,138,238,349,1095
8600000US10588,10588, 10588,1078,833,66,187,322,258,245,21,120,12,92
8600000US10589,10589, 10589,3814,3450,54,428,723,2245,364,0,60,73,231
8600000US10590,10590, 10590,2594,2415,36,231,463,1685,179,15,22,36,106
8600000US10591,10591, 10591,8906,4521,255,627,759,2880,4385,928,1053,786,1618
8600000US10594,10594, 10594,1572,1305,126,212,320,647,267,0,41,63,163
8600000US10595,10595, 10595,2289,1646,68,416,292,870,643,5,149,165,324
8600000US10596,10596, 10596,486,281,9,94,111,67,205,33,53,69,50
8600000US10597,10597, 10597,353,353,0,0,0,353,0,0,0,0,0
8600000US10598,10598, 10598,10533,9206,303,1607,2035,5261,1327,58,336,399,534
8600000US10601,10601, 10601,5363,1756,64,140,262,1290,3607,490,516,785,1816
8600000US10603,10603, 10603,6881,4315,166,494,944,2711,2566,280,591,677,1018
8600000US10604,10604, 10604,3808,2093,92,536,363,1102,1715,260,395,384,676
8600000US10605,10605, 10605,6826,5205,204,671,776,3554,1621,235,327,263,796
8600000US10606,10606, 10606,5529,2341,191,303,504,1343,3188,879,509,653,1147
8600000US10607,10607, 10607,2242,1826,121,274,337,1094,416,82,140,29,165
8600000US10701,10701, 10701,22181,6913,797,1689,1399,3028,15268,3771,4328,3783,3386
8600000US10703,10703, 10703,7263,3886,281,906,1122,1577,3377,916,1049,837,575
8600000US10704,10704, 10704,12451,6987,686,1710,2071,2520,5464,622,1482,1748,1612
8600000US10705,10705, 10705,13941,4279,340,825,1051,2063,9662,2818,2529,2809,1506
8600000US10706,10706, 10706,3301,2538,31,221,271,2015,763,32,151,163,417
8600000US10707,10707, 10707,4005,2474,58,342,567,1507,1531,107,228,559,637
8600000US10708,10708, 10708,9075,7023,268,736,1276,4743,2052,134,342,463,1113
8600000US10709,10709, 10709,3666,2864,167,376,681,1640,802,82,153,277,290
8600000US10710,10710, 10710,10300,6922,484,1531,1630,3277,3378,386,798,850,1344
8600000US10801,10801, 10801,14420,5622,618,1169,1219,2616,8798,2546,1968,1866,2418
8600000US10803,10803, 10803,4020,3098,91,492,244,2271,922,86,177,141,518
8600000US10804,10804, 10804,4975,4785,62,321,426,3976,190,29,20,0,141
8600000US10805,10805, 10805,7773,2840,253,563,673,1351,4933,776,1039,1484,1634
8600000US10901,10901, 10901,8672,6439,203,960,1618,3658,2233,258,769,646,560
8600000US10910,10910, 10910,25,0,0,0,0,0,25,0,0,0,25
8600000US10911,10911, 10911,0,0,0,0,0,0,0,0,0,0,0
8600000US10913,10913, 10913,1605,1578,66,310,271,931,27,6,10,5,6
8600000US10914,10914, 10914,131,131,0,56,57,18,0,0,0,0,0
8600000US10915,10915, 10915,30,30,0,0,30,0,0,0,0,0,0
8600000US10916,10916, 10916,1257,1172,16,271,390,495,85,0,39,46,0
8600000US10917,10917, 10917,583,457,27,146,96,188,126,0,64,31,31
8600000US10918,10918, 10918,3930,3243,78,710,1129,1326,687,52,155,323,157
8600000US10919,10919, 10919,455,438,95,80,166,97,17,11,0,0,6
8600000US10920,10920, 10920,2967,2429,195,385,766,1083,538,100,144,152,142
8600000US10921,10921, 10921,1356,1059,49,299,392,319,297,22,90,115,70
8600000US10922,10922, 10922,592,429,0,100,137,192,163,33,21,49,60
8600000US10923,10923, 10923,2645,1649,115,395,563,576,996,285,194,355,162
8600000US10924,10924, 10924,4412,3065,63,644,998,1360,1347,101,398,406,442
8600000US10925,10925, 10925,1676,1249,127,247,562,313,427,47,150,130,100
8600000US10926,10926, 10926,1267,655,15,109,250,281,612,50,154,203,205
8600000US10927,10927, 10927,3683,1481,77,374,540,490,2202,887,495,519,301
8600000US10928,10928, 10928,1848,889,32,205,303,349,959,34,222,309,394
8600000US10930,10930, 10930,2759,2541,18,225,890,1408,218,0,51,10,157
8600000US10931,10931, 10931,325,227,15,50,93,69,98,26,28,32,12
8600000US10932,10932, 10932,35,35,0,35,0,0,0,0,0,0,0
8600000US10933,10933, 10933,215,204,8,11,152,33,11,0,0,11,0
8600000US10940,10940, 10940,18037,10857,595,2944,3982,3336,7180,1366,2216,2538,1060
8600000US10941,10941, 10941,4820,3171,201,927,1205,838,1649,146,431,735,337
8600000US10950,10950, 10950,12814,8287,648,1978,2616,3045,4527,1223,1427,1122,755
8600000US10952,10952, 10952,9119,4358,358,890,1069,2041,4761,1163,1733,1218,647
8600000US10953,10953, 10953,65,65,0,0,31,34,0,0,0,0,0
8600000US10954,10954, 10954,8403,6250,290,1028,1552,3380,2153,251,526,507,869
8600000US10956,10956, 10956,10251,9155,186,1031,1712,6226,1096,121,257,277,441
8600000US10958,10958, 10958,958,820,16,175,242,387,138,42,45,27,24
8600000US10960,10960, 10960,6286,3101,119,345,679,1958,3185,356,491,886,1452
8600000US10962,10962, 10962,1856,1557,21,319,344,873,299,18,85,85,111
8600000US10963,10963, 10963,905,722,27,179,339,177,183,59,97,21,6
8600000US10964,10964, 10964,511,394,11,71,87,225,117,0,49,56,12
8600000US10965,10965, 10965,5392,4282,275,590,1391,2026,1110,236,216,318,340
8600000US10968,10968, 10968,1112,770,32,67,108,563,342,0,59,30,253
8600000US10969,10969, 10969,500,418,0,202,121,95,82,10,18,54,0
8600000US10970,10970, 10970,3628,2793,176,439,858,1320,835,95,288,110,342
8600000US10973,10973, 10973,813,602,6,170,225,201,211,26,52,99,34
8600000US10974,10974, 10974,1141,903,50,174,295,384,238,32,94,53,59
8600000US10975,10975, 10975,144,106,0,27,64,15,38,0,0,11,27
8600000US10976,10976, 10976,783,508,37,81,98,292,275,71,123,44,37
8600000US10977,10977, 10977,15647,7528,649,1798,2068,3013,8119,2583,2766,1864,906
8600000US10979,10979, 10979,91,91,0,0,91,0,0,0,0,0,0
8600000US10980,10980, 10980,4690,3932,200,1073,1295,1364,758,58,229,309,162
8600000US10983,10983, 10983,1900,1761,81,286,382,1012,139,0,40,10,89
8600000US10984,10984, 10984,983,890,69,125,255,441,93,0,15,37,41
8600000US10985,10985, 10985,50,50,0,0,40,10,0,0,0,0,0
8600000US10986,10986, 10986,592,528,14,125,100,289,64,21,0,32,11
8600000US10987,10987, 10987,1315,1053,32,163,242,616,262,16,47,75,124
8600000US10988,10988, 10988,266,217,16,65,61,75,49,17,25,7,0
8600000US10989,10989, 10989,3484,2940,18,460,701,1761,544,0,170,174,200
8600000US10990,10990, 10990,7348,5711,187,966,1482,3076,1637,211,449,681,296
