Id,Id2,Geography,Estimate; Total:,Estimate; Owner-occupied housing units:,Estimate; Owner-occupied housing units: - Less than high school graduate,Estimate; Owner-occupied housing units: - High school graduate (including equivalency),Estimate; Owner-occupied housing units: - Some college or associate's degree,Estimate; Owner-occupied housing units: - Bachelor's degree or higher,Estimate; Renter-occupied housing units:,Estimate; Renter-occupied housing units: - Less than high school graduate,Estimate; Renter-occupied housing units: - High school graduate (including equivalency),Estimate; Renter-occupied housing units: - Some college or associate's degree,Estimate; Renter-occupied housing units: - Bachelor's degree or higher
8600000US11363,11363, 11363,2620,1954,68,451,422,1013,666,29,73,146,418
8600000US11364,11364, 11364,13385,9872,962,1846,2280,4784,3513,183,1039,1090,1201
8600000US11365,11365, 11365,15657,7615,876,1649,2051,3039,8042,784,1886,2711,2661
8600000US11366,11366, 11366,4456,3122,398,641,511,1572,1334,104,287,359,584
8600000US11367,11367, 11367,14670,6895,620,1563,1485,3227,7775,977,2173,2045,2580
8600000US11368,11368, 11368,28275,6246,1922,1657,1277,1390,22029,8215,6951,4228,2635
8600000US11369,11369, 11369,10720,5539,914,1734,1421,1470,5181,1159,2281,1020,721
8600000US11370,11370, 11370,8365,4048,521,1558,701,1268,4317,540,1691,1049,1037
8600000US11371,11371, 11371,0,0,0,0,0,0,0,0,0,0,0
8600000US11372,11372, 11372,24051,7353,601,1384,1365,4003,16698,4151,4969,3317,4261
8600000US11373,11373, 11373,30216,9212,1978,1986,1936,3312,21004,5060,6863,3521,5560
8600000US11374,11374, 11374,19276,7098,557,1063,1434,4044,12178,1074,2305,2686,6113
8600000US11375,11375, 11375,32492,16272,854,1901,2509,11008,16220,985,2549,2912,9774
8600000US11377,11377, 11377,31464,9396,1357,2336,1424,4279,22068,4810,7126,4101,6031
8600000US11378,11378, 11378,12623,6628,863,2234,1607,1924,5995,655,2055,1699,1586
8600000US11379,11379, 11379,13528,8318,1006,2506,1835,2971,5210,526,1562,1373,1749
8600000US11385,11385, 11385,34993,11223,1746,3492,2765,3220,23770,4195,6753,6301,6521
8600000US11411,11411, 11411,6052,5171,414,1327,1591,1839,881,66,198,274,343
8600000US11412,11412, 11412,10957,8108,751,2167,2841,2349,2849,433,868,958,590
8600000US11413,11413, 11413,12133,8714,758,2222,2884,2850,3419,327,1003,1412,677
8600000US11414,11414, 11414,10511,7317,1043,2112,2174,1988,3194,444,841,984,925
8600000US11415,11415, 11415,8489,3015,130,433,660,1792,5474,331,1247,1453,2443
8600000US11416,11416, 11416,7216,3071,529,924,942,676,4145,929,1315,1138,763
8600000US11417,11417, 11417,9035,5441,1020,1487,1533,1401,3594,813,1098,915,768
8600000US11418,11418, 11418,10940,4662,808,1018,1126,1710,6278,1244,1945,1458,1631
8600000US11419,11419, 11419,12724,7490,1568,2870,1659,1393,5234,1472,1807,1080,875
8600000US11420,11420, 11420,13226,8911,1773,3055,2225,1858,4315,1259,1375,1096,585
8600000US11421,11421, 11421,11972,6845,1115,2027,1906,1797,5127,1342,1303,1455,1027
8600000US11422,11422, 11422,9686,6229,561,1341,2098,2229,3457,377,1018,1240,822
8600000US11423,11423, 11423,9817,5597,683,1454,1254,2206,4220,825,1439,993,963
8600000US11424,11424, 11424,0,0,0,0,0,0,0,0,0,0,0
8600000US11425,11425, 11425,0,0,0,0,0,0,0,0,0,0,0
8600000US11426,11426, 11426,6388,4902,265,1382,1204,2051,1486,174,513,183,616
8600000US11427,11427, 11427,7487,4632,355,964,1224,2089,2855,392,1003,858,602
8600000US11428,11428, 11428,5611,3800,441,1227,1338,794,1811,312,748,526,225
8600000US11429,11429, 11429,7387,5210,495,1406,1701,1608,2177,485,639,771,282
8600000US11430,11430, 11430,0,0,0,0,0,0,0,0,0,0,0
8600000US11432,11432, 11432,18390,6556,778,1135,1387,3256,11834,2616,2947,2443,3828
8600000US11433,11433, 11433,10423,4515,629,1543,1164,1179,5908,1578,2010,1294,1026
8600000US11434,11434, 11434,20993,10339,1038,3022,3449,2830,10654,1514,3289,3529,2322
8600000US11435,11435, 11435,18795,6708,1070,1545,1419,2674,12087,2526,2926,3074,3561
8600000US11436,11436, 11436,5628,4028,666,1373,1109,880,1600,299,577,450,274
8600000US11451,11451, 11451,0,0,0,0,0,0,0,0,0,0,0
8600000US11501,11501, 11501,7543,5011,356,1217,1219,2219,2532,257,324,781,1170
8600000US11507,11507, 11507,2325,2267,192,326,472,1277,58,0,12,21,25
8600000US11509,11509, 11509,882,769,11,162,159,437,113,0,15,43,55
8600000US11510,11510, 11510,10712,9127,376,1521,2901,4329,1585,260,386,607,332
8600000US11514,11514, 11514,1672,1204,135,275,254,540,468,102,135,88,143
8600000US11516,11516, 11516,2192,1473,50,213,234,976,719,93,164,163,299
8600000US11518,11518, 11518,3891,2961,42,572,921,1426,930,88,451,165,226
8600000US11520,11520, 11520,13759,9266,992,2278,2398,3598,4493,1655,1428,771,639
8600000US11530,11530, 11530,9321,8477,185,802,1498,5992,844,26,79,169,570
8600000US11542,11542, 11542,9742,5046,447,1224,900,2475,4696,985,1259,944,1508
8600000US11545,11545, 11545,4369,3863,84,473,578,2728,506,32,133,73,268
8600000US11547,11547, 11547,254,216,3,18,44,151,38,0,0,29,9
8600000US11548,11548, 11548,522,344,9,67,61,207,178,0,49,26,103
8600000US11549,11549, 11549,0,0,0,0,0,0,0,0,0,0,0
8600000US11550,11550, 11550,16355,7391,974,1806,2025,2586,8964,3193,2730,2236,805
8600000US11552,11552, 11552,7285,6411,496,1354,1627,2934,874,85,209,288,292
8600000US11553,11553, 11553,6285,4572,834,1188,1327,1223,1713,329,678,426,280
8600000US11554,11554, 11554,12196,10715,502,2688,2945,4580,1481,258,482,297,444
8600000US11556,11556, 11556,0,0,0,0,0,0,0,0,0,0,0
8600000US11557,11557, 11557,2643,2308,122,234,416,1536,335,0,174,100,61
8600000US11558,11558, 11558,2919,2137,104,592,685,756,782,166,283,194,139
8600000US11559,11559, 11559,2677,2254,154,134,507,1459,423,82,53,146,142
8600000US11560,11560, 11560,2260,1712,73,175,373,1091,548,119,130,140,159
8600000US11561,11561, 11561,16131,9786,413,1496,2198,5679,6345,434,1472,1556,2883
8600000US11563,11563, 11563,8006,5811,238,1347,1773,2453,2195,93,641,485,976
8600000US11565,11565, 11565,3233,3122,146,574,733,1669,111,0,61,23,27
8600000US11566,11566, 11566,11225,10597,322,1472,2438,6365,628,74,140,85,329
8600000US11568,11568, 11568,1044,972,0,49,103,820,72,0,25,6,41
8600000US11569,11569, 11569,475,342,0,56,109,177,133,0,38,85,10
8600000US11570,11570, 11570,10100,7014,155,859,1134,4866,3086,322,1112,738,914
8600000US11572,11572, 11572,10222,8947,241,2216,2087,4403,1275,209,361,426,279
8600000US11575,11575, 11575,4293,3177,629,788,977,783,1116,215,487,229,185
8600000US11576,11576, 11576,4662,4152,62,363,544,3183,510,26,83,130,271
8600000US11577,11577, 11577,4298,3694,108,230,544,2812,604,63,157,114,270
8600000US11579,11579, 11579,1961,1401,31,139,239,992,560,8,39,118,395
8600000US11580,11580, 11580,13242,11193,821,2550,2918,4904,2049,264,454,842,489
8600000US11581,11581, 11581,6838,5719,364,1126,1324,2905,1119,190,259,274,396
8600000US11590,11590, 11590,14156,10929,1130,2514,2674,4611,3227,638,740,672,1177
8600000US11596,11596, 11596,3604,3044,182,531,681,1650,560,6,111,115,328
8600000US11598,11598, 11598,3896,3444,54,322,660,2408,452,112,96,108,136
8600000US11691,11691, 11691,20155,4973,700,1181,1298,1794,15182,4613,3515,3808,3246
8600000US11692,11692, 11692,6417,2341,312,460,582,987,4076,1154,944,1345,633
8600000US11693,11693, 11693,4767,2343,243,648,696,756,2424,539,593,792,500
8600000US11694,11694, 11694,8319,4229,110,534,978,2607,4090,452,1143,1450,1045
8600000US11697,11697, 11697,1398,1353,40,234,388,691,45,0,0,11,34
8600000US11701,11701, 11701,8463,5827,695,1789,1563,1780,2636,516,912,706,502
8600000US11702,11702, 11702,4963,3890,123,638,1058,2071,1073,66,322,157,528
8600000US11703,11703, 11703,5429,4466,161,1482,1500,1323,963,0,331,258,374
8600000US11704,11704, 11704,12647,9285,725,3105,2726,2729,3362,407,1350,889,716
8600000US11705,11705, 11705,2696,2226,46,385,612,1183,470,44,102,202,122
8600000US11706,11706, 11706,18712,13656,1631,3360,4320,4345,5056,1220,1720,1312,804
8600000US11709,11709, 11709,2472,1978,32,455,457,1034,494,53,104,143,194
8600000US11710,11710, 11710,11474,10194,434,2257,2348,5155,1280,163,428,166,523
8600000US11713,11713, 11713,3211,2055,239,434,500,882,1156,215,369,391,181
8600000US11714,11714, 11714,7673,6861,275,2048,1679,2859,812,83,290,77,362
8600000US11715,11715, 11715,1581,1367,27,271,370,699,214,24,70,48,72
8600000US11716,11716, 11716,3632,2727,168,909,908,742,905,72,287,210,336
8600000US11717,11717, 11717,13587,9883,2580,3226,2571,1506,3704,1342,1578,473,311
8600000US11718,11718, 11718,1116,1056,19,167,223,647,60,0,32,23,5
8600000US11719,11719, 11719,1124,911,57,140,234,480,213,69,110,26,8
8600000US11720,11720, 11720,8816,7379,514,2230,2173,2462,1437,139,303,392,603
8600000US11721,11721, 11721,2264,2095,38,245,532,1280,169,0,35,18,116
8600000US11722,11722, 11722,9468,6314,1058,1801,2107,1348,3154,786,1132,864,372
8600000US11724,11724, 11724,1049,895,14,106,54,721,154,0,0,0,154
8600000US11725,11725, 11725,9903,9016,250,1737,2486,4543,887,101,201,203,382
8600000US11726,11726, 11726,5835,4330,744,1555,1120,911,1505,241,712,351,201
8600000US11727,11727, 11727,10910,6975,407,1864,2143,2561,3935,283,907,1229,1516
8600000US11729,11729, 11729,8939,7390,514,2496,2023,2357,1549,242,474,360,473
8600000US11730,11730, 11730,4361,3906,107,778,1158,1863,455,40,140,112,163
8600000US11731,11731, 11731,10136,8864,350,1699,2239,4576,1272,124,263,398,487
8600000US11732,11732, 11732,1422,1043,37,203,219,584,379,0,124,49,206
8600000US11733,11733, 11733,5613,5247,106,532,990,3619,366,2,43,67,254
8600000US11735,11735, 11735,11414,9202,401,2148,2843,3810,2212,235,724,660,593
8600000US11738,11738, 11738,5183,4373,200,1290,1611,1272,810,132,382,206,90
8600000US11739,11739, 11739,321,301,0,48,78,175,20,0,0,0,20
8600000US11740,11740, 11740,3175,2524,62,346,567,1549,651,58,251,234,108
8600000US11741,11741, 11741,9024,7287,320,1981,2514,2472,1737,75,533,503,626
8600000US11742,11742, 11742,4554,3636,233,1082,1248,1073,918,93,265,385,175
8600000US11743,11743, 11743,15132,13070,276,1779,2742,8273,2062,209,378,541,934
8600000US11746,11746, 11746,20740,17443,985,3162,3536,9760,3297,891,891,675,840
8600000US11747,11747, 11747,7070,6152,131,808,1342,3871,918,14,168,335,401
8600000US11749,11749, 11749,982,876,85,262,296,233,106,19,19,36,32
8600000US11751,11751, 11751,5067,4302,207,1077,1103,1915,765,126,310,156,173
8600000US11752,11752, 11752,2954,2500,140,880,753,727,454,46,115,224,69
8600000US11753,11753, 11753,4253,3776,24,168,537,3047,477,29,124,68,256
8600000US11754,11754, 11754,6613,5344,132,1126,1590,2496,1269,174,393,322,380
8600000US11755,11755, 11755,4167,3471,118,833,1080,1440,696,72,171,256,197
8600000US11756,11756, 11756,13479,12431,709,3715,3765,4242,1048,53,320,314,361
8600000US11757,11757, 11757,14550,11360,1049,3846,3554,2911,3190,333,1235,1127,495
8600000US11758,11758, 11758,18449,16865,593,4054,4825,7393,1584,72,603,480,429
8600000US11762,11762, 11762,7358,7146,221,1819,1786,3320,212,0,105,50,57
8600000US11763,11763, 11763,9316,7437,433,2074,2567,2363,1879,395,697,482,305
8600000US11764,11764, 11764,4187,3960,30,775,1209,1946,227,9,63,97,58
8600000US11765,11765, 11765,247,213,2,16,29,166,34,0,2,10,22
8600000US11766,11766, 11766,4207,3909,156,786,1227,1740,298,109,74,97,18
8600000US11767,11767, 11767,4996,4452,162,890,990,2410,544,0,163,233,148
8600000US11768,11768, 11768,7959,6923,85,958,1475,4405,1036,53,183,355,445
8600000US11769,11769, 11769,3367,2939,138,504,1207,1090,428,8,161,215,44
8600000US11770,11770, 11770,23,23,0,2,9,12,0,0,0,0,0
8600000US11771,11771, 11771,3649,2959,103,592,520,1744,690,98,294,108,190
8600000US11772,11772, 11772,17022,10852,850,2893,3414,3695,6170,1231,1972,1873,1094
8600000US11776,11776, 11776,7899,6381,417,1461,1965,2538,1518,236,311,493,478
8600000US11777,11777, 11777,3421,2453,27,276,457,1693,968,43,151,193,581
8600000US11778,11778, 11778,4165,3438,197,645,1102,1494,727,97,259,172,199
8600000US11779,11779, 11779,12660,9740,439,2712,3397,3192,2920,251,1065,933,671
8600000US11780,11780, 11780,5410,4896,191,925,1262,2518,514,28,116,189,181
8600000US11782,11782, 11782,5290,4227,159,756,963,2349,1063,153,322,204,384
8600000US11783,11783, 11783,6960,6384,186,1448,1776,2974,576,10,167,201,198
8600000US11784,11784, 11784,7981,6632,352,2064,2373,1843,1349,198,420,544,187
8600000US11786,11786, 11786,1938,1783,26,246,527,984,155,0,47,65,43
8600000US11787,11787, 11787,12006,10681,181,1892,2772,5836,1325,229,192,359,545
8600000US11788,11788, 11788,5548,4466,130,829,1108,2399,1082,19,331,239,493
8600000US11789,11789, 11789,2863,2671,89,523,836,1223,192,39,38,55,60
8600000US11790,11790, 11790,4529,4155,39,433,694,2989,374,34,0,115,225
8600000US11791,11791, 11791,8275,7682,148,751,1430,5353,593,11,83,148,351
8600000US11792,11792, 11792,2944,2792,53,511,768,1460,152,26,23,40,63
8600000US11793,11793, 11793,10385,9775,376,2309,2712,4378,610,73,184,128,225
8600000US11794,11794, 11794,0,0,0,0,0,0,0,0,0,0,0
8600000US11795,11795, 11795,7941,7504,329,2008,2339,2828,437,6,99,131,201
8600000US11796,11796, 11796,1216,952,38,229,224,461,264,0,114,73,77
8600000US11797,11797, 11797,3022,2634,33,356,299,1946,388,11,21,68,288
8600000US11798,11798, 11798,3709,2632,326,724,780,802,1077,240,414,343,80
8600000US11801,11801, 11801,12516,10763,554,3175,3337,3697,1753,208,397,484,664
8600000US11803,11803, 11803,9632,8790,192,1281,1576,5741,842,55,294,92,401
8600000US11804,11804, 11804,1703,1550,40,160,296,1054,153,60,25,41,27
8600000US11901,11901, 11901,10047,7080,660,2139,2345,1936,2967,833,1025,701,408
8600000US11930,11930, 11930,445,376,4,96,55,221,69,22,12,15,20
8600000US11931,11931, 11931,19,19,0,0,19,0,0,0,0,0,0
8600000US11932,11932, 11932,440,372,28,91,74,179,68,0,22,43,3
8600000US11933,11933, 11933,2970,2532,249,848,952,483,438,121,257,46,14
8600000US11934,11934, 11934,2512,2197,121,457,825,794,315,0,150,83,82
8600000US11935,11935, 11935,1257,1146,29,169,316,632,111,7,0,61,43
8600000US11937,11937, 11937,6488,5505,288,945,1217,3055,983,366,148,242,227
8600000US11939,11939, 11939,431,352,17,78,87,170,79,7,28,27,17
8600000US11940,11940, 11940,1848,1495,46,300,565,584,353,8,176,75,94
8600000US11941,11941, 11941,762,568,0,140,182,246,194,0,67,41,86
8600000US11942,11942, 11942,1804,1527,37,386,402,702,277,16,86,63,112
8600000US11944,11944, 11944,1726,1130,107,234,227,562,596,82,249,112,153
8600000US11946,11946, 11946,5533,3877,187,840,1080,1770,1656,181,810,383,282
8600000US11947,11947, 11947,138,138,0,72,48,18,0,0,0,0,0
8600000US11948,11948, 11948,386,386,0,159,84,143,0,0,0,0,0
8600000US11949,11949, 11949,4873,4132,195,856,1446,1635,741,34,180,278,249
8600000US11950,11950, 11950,4674,3652,480,1391,1146,635,1022,384,347,256,35
8600000US11951,11951, 11951,4803,3419,232,1549,919,719,1384,279,418,543,144
8600000US11952,11952, 11952,1987,1686,154,378,427,727,301,0,235,30,36
8600000US11953,11953, 11953,5201,3806,209,1044,1308,1245,1395,54,496,494,351
8600000US11954,11954, 11954,1528,1331,51,316,373,591,197,0,41,131,25
8600000US11955,11955, 11955,1750,805,41,92,380,292,945,79,231,342,293
8600000US11956,11956, 11956,127,99,1,6,30,62,28,0,2,12,14
8600000US11957,11957, 11957,331,290,15,61,104,110,41,0,7,34,0
8600000US11958,11958, 11958,256,236,27,39,48,122,20,0,20,0,0
8600000US11959,11959, 11959,398,327,3,42,69,213,71,0,0,22,49
8600000US11960,11960, 11960,301,290,0,68,70,152,11,0,0,0,11
8600000US11961,11961, 11961,5392,4578,319,1585,1576,1098,814,42,236,355,181
8600000US11962,11962, 11962,123,116,0,14,12,90,7,0,0,0,7
8600000US11963,11963, 11963,2662,2105,84,306,361,1354,557,21,209,157,170
8600000US11964,11964, 11964,859,773,15,98,215,445,86,0,31,46,9
8600000US11965,11965, 11965,336,294,0,68,0,226,42,0,40,0,2
8600000US11967,11967, 11967,7916,6590,731,2243,1987,1629,1326,97,558,594,77
8600000US11968,11968, 11968,4469,3617,70,608,750,2189,852,82,244,194,332
8600000US11970,11970, 11970,89,71,0,0,71,0,18,0,0,0,18
8600000US11971,11971, 11971,2673,2306,45,661,560,1040,367,16,63,220,68
8600000US11972,11972, 11972,457,354,10,127,104,113,103,0,44,30,29
8600000US11973,11973, 11973,0,0,0,0,0,0,0,0,0,0,0
8600000US11975,11975, 11975,111,103,0,20,33,50,8,0,0,8,0
8600000US11976,11976, 11976,889,823,10,153,156,504,66,31,13,0,22
8600000US11977,11977, 11977,817,723,12,158,161,392,94,15,22,19,38
8600000US11978,11978, 11978,1228,866,9,188,186,483,362,5,155,119,83
8600000US11980,11980, 11980,1780,1376,41,392,428,515,404,11,125,175,93
8600000US12007,12007, 12007,0,0,0,0,0,0,0,0,0,0,0
8600000US12008,12008, 12008,161,149,0,27,46,76,12,0,7,5,0
8600000US12009,12009, 12009,2953,2339,74,401,711,1153,614,38,180,221,175
8600000US12010,12010, 12010,11641,7714,610,2368,2961,1775,3927,937,1267,1378,345
8600000US12015,12015, 12015,1040,772,37,224,275,236,268,33,94,85,56
8600000US12017,12017, 12017,167,133,10,45,36,42,34,0,14,0,20
8600000US12018,12018, 12018,2825,2391,136,616,904,735,434,62,137,135,100
8600000US12019,12019, 12019,5864,4687,93,719,1259,2616,1177,127,242,429,379
8600000US12020,12020, 12020,13235,9869,401,2277,2861,4330,3366,184,908,1320,954
8600000US12022,12022, 12022,418,300,24,99,82,95,118,5,13,25,75
8600000US12023,12023, 12023,777,725,50,235,200,240,52,4,24,3,21
8600000US12024,12024, 12024,0,0,0,0,0,0,0,0,0,0,0
8600000US12025,12025, 12025,2248,1897,97,534,812,454,351,5,113,200,33
8600000US12027,12027, 12027,1466,1212,9,153,385,665,254,0,87,44,123
8600000US12028,12028, 12028,317,271,14,100,68,89,46,9,26,11,0
8600000US12029,12029, 12029,400,331,25,54,66,186,69,3,14,23,29
8600000US12031,12031, 12031,84,62,0,22,25,15,22,9,7,6,0
8600000US12032,12032, 12032,382,353,27,125,112,89,29,0,19,10,0
8600000US12033,12033, 12033,3126,2383,107,491,862,923,743,59,186,244,254
8600000US12035,12035, 12035,286,225,18,113,44,50,61,15,15,18,13
8600000US12036,12036, 12036,111,102,24,49,15,14,9,4,5,0,0
8600000US12037,12037, 12037,1852,1363,102,337,420,504,489,74,192,126,97
8600000US12040,12040, 12040,63,63,0,48,12,3,0,0,0,0,0
8600000US12041,12041, 12041,243,235,27,125,34,49,8,0,0,0,8
8600000US12042,12042, 12042,118,85,0,6,55,24,33,0,7,18,8
8600000US12043,12043, 12043,3026,1745,100,427,617,601,1281,131,506,420,224
8600000US12045,12045, 12045,196,122,0,48,62,12,74,9,36,29,0
8600000US12046,12046, 12046,390,353,30,135,129,59,37,0,10,22,5
8600000US12047,12047, 12047,8978,4345,346,1026,1480,1493,4633,627,1499,1363,1144
8600000US12051,12051, 12051,1405,972,104,315,288,265,433,83,141,153,56
8600000US12052,12052, 12052,716,588,16,190,191,191,128,0,45,71,12
8600000US12053,12053, 12053,1509,1281,46,424,512,299,228,42,38,62,86
8600000US12054,12054, 12054,6883,5087,41,374,772,3900,1796,53,280,409,1054
8600000US12056,12056, 12056,689,618,12,177,164,265,71,4,62,0,5
8600000US12057,12057, 12057,867,755,67,350,232,106,112,0,52,36,24
8600000US12058,12058, 12058,591,494,20,190,133,151,97,32,26,31,8
8600000US12059,12059, 12059,646,590,37,162,169,222,56,10,23,17,6
8600000US12060,12060, 12060,636,556,9,74,192,281,80,0,39,19,22
8600000US12061,12061, 12061,3629,2589,97,374,648,1470,1040,0,345,407,288
8600000US12062,12062, 12062,646,582,23,268,160,131,64,0,29,25,10
8600000US12063,12063, 12063,138,104,0,27,14,63,34,0,0,34,0
8600000US12064,12064, 12064,204,164,46,69,18,31,40,0,29,0,11
8600000US12065,12065, 12065,17591,12150,245,1715,3091,7099,5441,355,829,2050,2207
8600000US12066,12066, 12066,771,676,30,251,288,107,95,6,45,35,9
8600000US12067,12067, 12067,598,558,21,226,190,121,40,0,9,20,11
8600000US12068,12068, 12068,1224,1018,107,295,411,205,206,68,86,39,13
8600000US12069,12069, 12069,73,51,4,18,29,0,22,0,0,16,6
8600000US12070,12070, 12070,629,557,72,147,174,164,72,9,27,24,12
8600000US12071,12071, 12071,125,90,8,22,37,23,35,0,12,14,9
8600000US12072,12072, 12072,933,778,81,263,278,156,155,37,33,60,25
8600000US12074,12074, 12074,1223,1082,75,384,258,365,141,12,18,75,36
8600000US12075,12075, 12075,1125,905,7,247,349,302,220,61,0,34,125
8600000US12076,12076, 12076,626,540,39,237,158,106,86,0,30,39,17
8600000US12077,12077, 12077,2489,1896,45,182,428,1241,593,20,155,174,244
8600000US12078,12078, 12078,10011,6326,531,2145,2238,1412,3685,779,1401,1283,222
8600000US12083,12083, 12083,1438,1271,62,399,462,348,167,27,74,36,30
8600000US12084,12084, 12084,2052,505,0,54,139,312,1547,17,162,355,1013
8600000US12085,12085, 12085,140,15,0,0,8,7,125,0,31,66,28
8600000US12086,12086, 12086,714,643,0,181,305,157,71,7,22,42,0
8600000US12087,12087, 12087,335,304,22,175,84,23,31,0,13,18,0
8600000US12089,12089, 12089,66,58,0,0,26,32,8,8,0,0,0
8600000US12090,12090, 12090,2482,1588,41,484,606,457,894,144,428,231,91
8600000US12092,12092, 12092,342,225,13,152,33,27,117,14,19,34,50
8600000US12093,12093, 12093,674,564,88,196,181,99,110,33,41,20,16
8600000US12094,12094, 12094,915,774,55,244,287,188,141,0,62,48,31
8600000US12095,12095, 12095,4872,3334,264,1021,1162,887,1538,156,563,486,333
8600000US12106,12106, 12106,1095,882,43,230,157,452,213,4,48,74,87
8600000US12108,12108, 12108,108,78,5,32,21,20,30,3,0,24,3
8600000US12110,12110, 12110,7618,5323,155,1006,1482,2680,2295,173,484,895,743
8600000US12115,12115, 12115,72,44,0,0,0,44,28,0,0,0,28
8600000US12116,12116, 12116,822,649,29,263,203,154,173,33,61,71,8
8600000US12117,12117, 12117,1412,1107,65,385,410,247,305,60,118,95,32
8600000US12118,12118, 12118,6465,4274,215,1168,1303,1588,2191,208,671,760,552
8600000US12120,12120, 12120,239,200,13,123,23,41,39,0,21,9,9
8600000US12121,12121, 12121,610,581,14,214,233,120,29,0,29,0,0
8600000US12122,12122, 12122,2061,1681,237,567,562,315,380,71,100,147,62
8600000US12123,12123, 12123,2195,1778,80,606,554,538,417,36,175,153,53
8600000US12124,12124, 12124,249,237,42,93,73,29,12,0,0,12,0
8600000US12125,12125, 12125,612,420,22,134,106,158,192,57,36,82,17
8600000US12130,12130, 12130,308,250,0,51,104,95,58,0,0,58,0
8600000US12131,12131, 12131,39,31,5,8,12,6,8,0,6,1,1
8600000US12132,12132, 12132,127,75,0,19,36,20,52,21,0,31,0
8600000US12134,12134, 12134,1476,1164,93,325,419,327,312,26,147,120,19
8600000US12136,12136, 12136,346,323,0,67,46,210,23,0,10,0,13
8600000US12137,12137, 12137,687,564,41,215,177,131,123,0,71,36,16
8600000US12138,12138, 12138,1357,1127,121,317,330,359,230,39,83,53,55
8600000US12139,12139, 12139,59,54,7,11,18,18,5,0,5,0,0
8600000US12140,12140, 12140,631,578,45,74,264,195,53,12,23,0,18
8600000US12143,12143, 12143,2008,1260,153,422,239,446,748,59,375,194,120
8600000US12144,12144, 12144,8918,5286,251,1337,1727,1971,3632,333,927,1079,1293
8600000US12147,12147, 12147,231,203,3,64,25,111,28,11,13,4,0
8600000US12148,12148, 12148,1870,1627,32,193,480,922,243,14,0,127,102
8600000US12149,12149, 12149,967,685,67,212,165,241,282,42,138,91,11
8600000US12150,12150, 12150,286,253,0,88,93,72,33,0,33,0,0
8600000US12151,12151, 12151,325,274,18,41,67,148,51,10,8,12,21
8600000US12153,12153, 12153,357,357,16,144,90,107,0,0,0,0,0
8600000US12154,12154, 12154,1059,854,82,302,244,226,205,14,122,50,19
8600000US12155,12155, 12155,731,547,32,205,160,150,184,35,80,65,4
8600000US12156,12156, 12156,385,309,13,14,191,91,76,0,0,63,13
8600000US12157,12157, 12157,1628,1352,105,416,525,306,276,47,112,60,57
8600000US12158,12158, 12158,2601,2090,79,420,776,815,511,22,399,61,29
8600000US12159,12159, 12159,3291,2435,78,164,530,1663,856,0,290,229,337
8600000US12160,12160, 12160,346,304,17,133,97,57,42,0,31,6,5
8600000US12161,12161, 12161,82,69,0,0,56,13,13,0,13,0,0
8600000US12164,12164, 12164,57,54,3,25,11,15,3,1,1,0,1
8600000US12165,12165, 12165,79,55,0,24,7,24,24,0,0,24,0
8600000US12166,12166, 12166,545,474,74,142,156,102,71,4,22,38,7
8600000US12167,12167, 12167,1167,805,66,234,295,210,362,34,165,113,50
8600000US12168,12168, 12168,929,724,16,267,277,164,205,26,71,90,18
8600000US12169,12169, 12169,107,107,0,22,62,23,0,0,0,0,0
8600000US12170,12170, 12170,1878,1548,163,482,501,402,330,28,94,167,41
8600000US12172,12172, 12172,108,52,4,27,4,17,56,15,20,21,0
8600000US12173,12173, 12173,760,577,25,111,286,155,183,25,48,73,37
8600000US12174,12174, 12174,110,69,4,11,33,21,41,20,16,0,5
8600000US12175,12175, 12175,210,193,12,66,69,46,17,8,3,0,6
8600000US12176,12176, 12176,135,128,0,84,9,35,7,0,0,0,7
8600000US12177,12177, 12177,242,187,0,46,141,0,55,0,20,8,27
8600000US12180,12180, 12180,21529,9941,391,2370,3338,3842,11588,1573,2663,3717,3635
8600000US12182,12182, 12182,6206,3416,311,1208,1280,617,2790,354,893,1142,401
8600000US12183,12183, 12183,1206,391,8,148,155,80,815,59,271,300,185
8600000US12184,12184, 12184,2566,2028,82,415,637,894,538,98,119,153,168
8600000US12185,12185, 12185,789,674,31,187,302,154,115,32,49,29,5
8600000US12186,12186, 12186,2471,2146,69,293,593,1191,325,22,129,66,108
8600000US12187,12187, 12187,199,184,0,44,64,76,15,0,7,8,0
8600000US12188,12188, 12188,4726,3038,208,760,1118,952,1688,144,359,750,435
8600000US12189,12189, 12189,7952,3226,115,891,1116,1104,4726,571,1123,1687,1345
8600000US12190,12190, 12190,190,171,10,59,51,51,19,0,11,8,0
8600000US12192,12192, 12192,709,629,109,162,186,172,80,8,20,18,34
8600000US12193,12193, 12193,725,645,50,258,196,141,80,0,65,15,0
8600000US12194,12194, 12194,64,64,2,25,24,13,0,0,0,0,0
8600000US12195,12195, 12195,92,75,11,0,38,26,17,0,17,0,0
8600000US12196,12196, 12196,1211,1105,34,341,205,525,106,0,31,70,5
8600000US12197,12197, 12197,886,720,81,230,197,212,166,45,32,86,3
8600000US12198,12198, 12198,2976,2493,142,566,814,971,483,39,127,183,134
8600000US12202,12202, 12202,4172,1026,94,227,359,346,3146,534,1288,767,557
8600000US12203,12203, 12203,13576,6649,327,1045,1697,3580,6927,189,1091,2521,3126
8600000US12204,12204, 12204,3666,906,7,126,246,527,2760,258,311,704,1487
8600000US12205,12205, 12205,11158,7588,562,1780,2550,2696,3570,386,891,1294,999
