GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
8600000US13054,13054,ZCTA5 13054,1032,249,61,55,530,166,321,135,79,73,41,46,1032,249,61,55,530,166,321,135,79,73,41,46,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13057,13057,ZCTA5 13057,10273,427,809,182,3134,294,3275,376,1851,268,1204,210,9336,442,709,175,2943,293,2954,354,1670,231,1060,199,680,182,68,50,139,56,241,104,152,94,80,52,126,71,7,10,40,41,35,44,9,14,35,30,95,65,13,21,12,18,45,35,11,17,14,21,36,35,12,18,0,18,0,18,9,13,15,18
8600000US13060,13060,ZCTA5 13060,2114,211,285,124,626,166,750,149,200,60,253,106,1998,208,285,124,588,169,696,142,176,54,253,106,97,69,0,11,27,27,46,31,24,24,0,11,16,15,0,11,11,12,5,6,0,11,0,11,3,5,0,11,0,11,3,5,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13061,13061,ZCTA5 13061,859,171,29,22,326,103,221,60,192,68,91,35,859,171,29,22,326,103,221,60,192,68,91,35,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13062,13062,ZCTA5 13062,29,30,0,11,15,22,0,11,7,11,7,11,29,30,0,11,15,22,0,11,7,11,7,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13063,13063,ZCTA5 13063,1327,175,64,35,428,111,434,96,244,72,157,68,1122,160,45,29,323,96,394,91,205,63,155,67,59,41,6,8,0,11,23,14,28,38,2,3,69,93,0,11,65,93,1,3,3,4,0,11,17,17,0,11,9,9,0,11,8,9,0,11,60,44,13,20,31,23,16,24,0,11,0,11
8600000US13064,13064,ZCTA5 13064,52,30,0,11,13,12,0,11,17,18,22,19,48,29,0,11,9,10,0,11,17,18,22,19,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,8,0,11,4,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13066,13066,ZCTA5 13066,9002,390,250,86,1171,219,2300,246,2364,293,2917,281,7986,438,208,84,1019,196,2007,256,2102,270,2650,270,443,163,18,19,68,54,135,94,160,93,62,54,257,153,0,18,50,71,89,63,32,25,86,77,204,118,8,12,28,43,50,57,41,37,77,52,112,78,16,22,6,17,19,24,29,31,42,37
8600000US13068,13068,ZCTA5 13068,3664,341,110,53,846,154,1186,239,696,150,826,177,3310,341,85,49,812,156,1074,224,628,141,711,161,185,88,11,13,34,32,61,54,50,43,29,28,108,54,14,22,0,16,31,42,18,19,45,42,46,33,0,16,0,16,20,32,0,16,26,23,15,24,0,16,0,16,0,16,0,16,15,24
8600000US13069,13069,ZCTA5 13069,16727,535,2460,351,6472,530,5037,452,1610,283,1148,207,14559,576,1832,292,5705,495,4467,471,1444,254,1111,203,1634,365,492,194,653,240,355,135,113,83,21,32,416,153,105,74,92,54,175,112,28,26,16,16,84,58,15,21,22,23,40,41,7,10,0,21,34,37,16,24,0,21,0,21,18,28,0,21
