Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Estimate; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Less than high school graduate,Estimate; Total: - Same house 1 year ago: - High school graduate (includes equivalency),Estimate; Total: - Same house 1 year ago: - Some college or associate's degree,Estimate; Total: - Same house 1 year ago: - Bachelor's degree,Estimate; Total: - Same house 1 year ago: - Graduate or professional degree,Estimate; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Less than high school graduate,Estimate; Total: - Moved within same county: - High school graduate (includes equivalency),Estimate; Total: - Moved within same county: - Some college or associate's degree,Estimate; Total: - Moved within same county: - Bachelor's degree,Estimate; Total: - Moved within same county: - Graduate or professional degree,Estimate; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Less than high school graduate,Estimate; Total: - Moved from different county within same state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different county within same state: - Some college or associate's degree,Estimate; Total: - Moved from different county within same state: - Bachelor's degree,Estimate; Total: - Moved from different county within same state: - Graduate or professional degree,Estimate; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Less than high school graduate,Estimate; Total: - Moved from different state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different state: - Some college or associate's degree,Estimate; Total: - Moved from different state: - Bachelor's degree,Estimate; Total: - Moved from different state: - Graduate or professional degree,Estimate; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Less than high school graduate,Estimate; Total: - Moved from abroad: - High school graduate (includes equivalency),Estimate; Total: - Moved from abroad: - Some college or associate's degree,Estimate; Total: - Moved from abroad: - Bachelor's degree,Estimate; Total: - Moved from abroad: - Graduate or professional degree
8600000US06390,06390, 06390,179,6,73,6,34,60,179,6,73,6,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US07421,07421, 07421,5173,439,2058,1171,1021,484,4881,396,1936,1140,975,434,168,29,103,0,36,0,59,14,11,24,0,10,65,0,8,7,10,40,0,0,0,0,0,0
8600000US10001,10001, 10001,17839,1094,2151,2062,6963,5569,14781,872,2024,1771,5650,4464,1255,53,5,135,614,448,620,108,122,26,140,224,704,32,0,28,340,304,479,29,0,102,219,129
8600000US10002,10002, 10002,60938,20252,12247,8250,13236,6953,56700,19620,11610,7672,11687,6111,2008,263,285,137,868,455,1127,228,155,325,249,170,677,108,79,80,255,155,426,33,118,36,177,62
8600000US10003,10003, 10003,39339,1377,2074,4269,17264,14355,33225,1202,1717,3861,14000,12445,3513,135,233,218,2067,860,761,21,53,49,357,281,1129,19,0,106,542,462,711,0,71,35,298,307
8600000US10004,10004, 10004,2409,34,49,146,1227,953,1996,23,45,144,1054,730,208,10,4,0,102,92,4,1,0,0,3,0,111,0,0,2,16,93,90,0,0,0,52,38
8600000US10005,10005, 10005,6403,45,340,353,2869,2796,4881,44,314,259,1981,2283,795,1,1,80,517,196,115,0,2,10,71,32,402,0,23,0,117,262,210,0,0,4,183,23
8600000US10006,10006, 10006,2657,17,32,132,1363,1113,2124,17,32,103,1074,898,352,0,0,0,229,123,0,0,0,0,0,0,115,0,0,22,26,67,66,0,0,7,34,25
8600000US10007,10007, 10007,5336,367,490,382,1980,2117,4420,312,360,301,1646,1801,525,1,46,52,273,153,154,40,69,13,32,0,41,0,0,0,0,41,196,14,15,16,29,122
8600000US10009,10009, 10009,46930,5844,6676,6837,17355,10218,40877,5416,6354,6275,14842,7990,3358,333,114,417,1369,1125,1087,95,172,98,517,205,1112,0,15,47,522,528,496,0,21,0,105,370
8600000US10010,10010, 10010,25360,1062,1921,2587,9830,9960,19529,895,1474,1854,7415,7891,3250,111,299,355,1432,1053,989,44,72,142,95,636,1130,12,68,53,751,246,462,0,8,183,137,134
8600000US10011,10011, 10011,42433,2031,2972,4192,16953,16285,36461,1927,2780,3782,14207,13765,3380,83,143,240,1698,1216,777,8,40,81,443,205,1133,13,0,89,444,587,682,0,9,0,161,512
8600000US10012,10012, 10012,19317,1114,1482,1351,8278,7092,15667,1000,1334,1040,6244,6049,1923,63,108,229,1092,431,601,28,40,60,226,247,821,23,0,22,482,294,305,0,0,0,234,71
8600000US10013,10013, 10013,22432,4328,2013,2230,8136,5725,19534,3878,1748,2080,6832,4996,1348,289,105,51,525,378,535,161,113,56,197,8,680,0,25,0,414,241,335,0,22,43,168,102
8600000US10014,10014, 10014,27412,250,1485,2356,13259,10062,22478,247,1393,2145,10484,8209,2614,2,70,106,1627,809,453,0,1,43,205,204,1209,1,1,43,612,552,658,0,20,19,331,288
8600000US10016,10016, 10016,40947,1741,2852,4461,18266,13627,34523,1569,2295,4172,15167,11320,3584,41,351,249,1801,1142,757,92,103,40,314,208,1323,29,33,0,732,529,760,10,70,0,252,428
8600000US10017,10017, 10017,14041,321,643,1493,6356,5228,12305,265,612,1370,5676,4382,825,46,10,34,409,326,403,0,21,32,58,292,389,10,0,54,161,164,119,0,0,3,52,64
8600000US10018,10018, 10018,7932,605,605,1006,3071,2645,6210,548,547,858,2306,1951,809,13,50,34,428,284,231,6,0,58,59,108,398,38,8,53,111,188,284,0,0,3,167,114
8600000US10019,10019, 10019,36002,1723,3450,4846,13322,12661,28763,1472,2926,4476,10114,9775,3657,167,132,152,1635,1571,859,72,142,21,379,245,1954,0,144,105,851,854,769,12,106,92,343,216
8600000US10020,10020, 10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10021,10021, 10021,36738,431,1845,4032,14868,15562,31293,399,1714,3760,12586,12834,3210,16,113,173,1233,1675,533,5,2,15,234,277,1054,0,0,69,505,480,648,11,16,15,310,296
8600000US10022,10022, 10022,26753,646,1202,2921,11168,10816,22783,561,1146,2572,9214,9290,2319,31,27,112,1451,698,649,35,29,147,108,330,748,0,0,37,345,366,254,19,0,53,50,132
8600000US10023,10023, 10023,49741,1507,3339,4485,15870,24540,42811,1277,2981,4073,13491,20989,3428,67,199,189,1412,1561,847,121,73,72,133,448,1754,42,2,91,549,1070,901,0,84,60,285,472
8600000US10024,10024, 10024,47189,2287,2953,4275,16081,21593,39443,2202,2839,3317,12592,18493,4632,53,91,678,2169,1641,857,27,5,267,290,268,1837,5,18,13,957,844,420,0,0,0,73,347
8600000US10025,10025, 10025,72403,7017,7123,9388,21437,27438,61737,6231,6375,8744,17261,23126,5385,420,461,412,1864,2228,1487,92,147,48,385,815,2143,92,0,54,1405,592,1651,182,140,130,522,677
8600000US10026,10026, 10026,28689,4782,6073,5287,6487,6060,25879,4369,5692,4772,5902,5144,1550,188,196,271,355,540,543,189,122,88,70,74,493,26,16,71,160,220,224,10,47,85,0,82
8600000US10027,10027, 10027,41531,6938,8205,6723,9297,10368,37305,6454,7886,6364,7891,8710,1827,256,157,117,481,816,806,147,19,92,297,251,763,60,70,83,319,231,830,21,73,67,309,360
8600000US10028,10028, 10028,41611,1071,1727,4225,17011,17577,34748,1024,1447,3617,13726,14934,3997,31,14,233,2142,1577,742,0,35,78,362,267,1735,16,170,231,723,595,389,0,61,66,58,204
8600000US10029,10029, 10029,55179,13409,12991,10493,10986,7300,50097,12814,12126,9541,9692,5924,2206,344,335,440,520,567,1547,224,397,345,328,253,812,27,60,58,333,334,517,0,73,109,113,222
8600000US10030,10030, 10030,21152,4765,5094,4743,3993,2557,18693,4081,4868,4114,3388,2242,1075,245,84,183,427,136,889,308,142,325,89,25,209,6,0,31,60,112,286,125,0,90,29,42
8600000US10031,10031, 10031,44784,12496,9387,7769,8535,6597,39330,11668,8720,7114,6460,5368,2667,569,283,398,856,561,900,195,148,107,297,153,1455,34,141,94,769,417,432,30,95,56,153,98
8600000US10032,10032, 10032,46610,14134,9160,8998,9241,5077,41715,13374,8543,8163,7922,3713,2246,489,302,359,466,630,1111,170,277,140,291,233,899,38,21,73,460,307,639,63,17,263,102,194
8600000US10033,10033, 10033,43720,13285,6986,7972,9206,6271,39424,12829,6525,7064,7518,5488,2136,259,236,419,851,371,676,92,118,168,197,101,816,0,61,91,395,269,668,105,46,230,245,42
8600000US10034,10034, 10034,31358,8442,6479,6525,5688,4224,28675,8145,6034,6024,4877,3595,1573,198,320,335,388,332,617,19,48,162,303,85,360,13,60,4,104,179,133,67,17,0,16,33
8600000US10035,10035, 10035,25171,7972,5733,5272,3633,2561,22470,7110,5084,4682,3310,2284,1415,521,363,273,165,93,788,265,216,126,70,111,357,16,34,156,78,73,141,60,36,35,10,0
8600000US10036,10036, 10036,22308,1581,1571,2651,9440,7065,18071,1475,1407,2341,7507,5341,2142,50,96,149,1094,753,339,44,34,35,101,125,1217,12,18,108,570,509,539,0,16,18,168,337
8600000US10037,10037, 10037,14611,2084,3642,3261,3184,2440,13021,1888,3115,3051,2829,2138,973,165,344,90,179,195,447,31,162,60,146,48,109,0,0,60,30,19,61,0,21,0,0,40
8600000US10038,10038, 10038,17026,2942,2284,1884,5797,4119,14328,2774,2222,1644,4416,3272,1448,108,37,138,768,397,388,32,25,56,191,84,624,13,0,32,362,217,238,15,0,14,60,149
8600000US10039,10039, 10039,17583,3481,4425,4664,3184,1829,15893,3261,3975,4364,2767,1526,1036,187,220,196,244,189,428,21,136,56,139,76,174,12,56,34,34,38,52,0,38,14,0,0
8600000US10040,10040, 10040,33173,9499,5203,6790,6892,4789,28897,8715,4715,6112,5637,3718,2422,301,303,568,590,660,486,104,2,29,248,103,595,23,90,69,106,307,773,356,93,12,311,1
8600000US10044,10044, 10044,9621,998,1397,1134,2302,3790,7760,771,1213,981,1838,2957,844,196,46,64,272,266,208,0,62,58,21,67,275,0,40,0,57,178,534,31,36,31,114,322
8600000US10065,10065, 10065,23872,307,1616,2378,9630,9941,19892,176,1520,2209,7601,8386,1916,28,14,92,1139,643,516,15,0,2,264,235,1086,34,45,48,553,406,462,54,37,27,73,271
8600000US10069,10069, 10069,3852,35,223,317,1381,1896,2719,35,200,253,971,1260,691,0,23,27,227,414,0,0,0,0,0,0,300,0,0,25,65,210,142,0,0,12,118,12
8600000US10075,10075, 10075,17822,457,928,2447,6906,7084,14684,424,846,2082,5720,5612,1620,30,58,318,606,608,285,3,24,0,83,175,843,0,0,47,368,428,390,0,0,0,129,261
8600000US10103,10103, 10103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10110,10110, 10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10111,10111, 10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10112,10112, 10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10115,10115, 10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10119,10119, 10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10128,10128, 10128,49870,1421,3336,4114,19402,21597,41393,1376,3035,3657,16138,17187,4156,15,69,107,2000,1965,1706,20,148,89,648,801,1748,10,84,103,481,1070,867,0,0,158,135,574
8600000US10152,10152, 10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10153,10153, 10153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10154,10154, 10154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10162,10162, 10162,955,0,0,98,383,474,763,0,0,98,267,398,114,0,0,0,77,37,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,39,39
8600000US10165,10165, 10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10167,10167, 10167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10168,10168, 10168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10169,10169, 10169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10170,10170, 10170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10171,10171, 10171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10172,10172, 10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10173,10173, 10173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10174,10174, 10174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10177,10177, 10177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10199,10199, 10199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10271,10271, 10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10278,10278, 10278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10279,10279, 10279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10280,10280, 10280,7517,71,136,618,3300,3392,6325,71,136,540,2931,2647,543,0,0,59,172,312,117,0,0,0,78,39,251,0,0,0,28,223,281,0,0,19,91,171
8600000US10282,10282, 10282,3938,67,291,263,1778,1539,2983,54,200,191,1337,1201,532,0,44,40,245,203,47,0,47,0,0,0,196,0,0,0,106,90,180,13,0,32,90,45
8600000US10301,10301, 10301,25987,3564,7072,5923,4942,4486,24132,3330,6486,5593,4489,4234,935,154,266,155,214,146,532,56,179,110,120,67,204,19,45,42,80,18,184,5,96,23,39,21
8600000US10302,10302, 10302,12362,2023,4155,3335,1966,883,11461,1857,3990,3045,1727,842,687,145,121,184,223,14,104,11,39,11,16,27,72,10,5,57,0,0,38,0,0,38,0,0
8600000US10303,10303, 10303,15792,2942,4576,4372,2583,1319,14990,2771,4371,4053,2498,1297,479,74,140,186,57,22,216,19,65,121,11,0,4,0,0,0,4,0,103,78,0,12,13,0
8600000US10304,10304, 10304,28335,4659,9034,5766,5104,3772,26673,4442,8502,5504,4588,3637,959,119,365,133,326,16,396,76,80,90,88,62,101,5,56,13,27,0,206,17,31,26,75,57
8600000US10305,10305, 10305,29972,4313,8605,7439,5949,3666,27847,3985,8180,6900,5532,3250,1143,167,264,356,204,152,647,141,114,111,142,139,176,0,0,72,15,89,159,20,47,0,56,36
8600000US10306,10306, 10306,38905,3921,13360,9725,7112,4787,37185,3781,12870,9266,6707,4561,1182,83,351,312,320,116,332,34,80,87,66,65,79,0,19,29,19,12,127,23,40,31,0,33
8600000US10307,10307, 10307,9978,822,2860,2658,2241,1397,9571,773,2769,2502,2184,1343,326,39,91,102,46,48,33,10,0,12,11,0,48,0,0,42,0,6,0,0,0,0,0,0
8600000US10308,10308, 10308,21756,1676,7378,5519,4298,2885,20277,1469,7002,5177,3944,2685,1025,187,248,245,277,68,281,14,105,41,47,74,94,6,0,36,10,42,79,0,23,20,20,16
8600000US10309,10309, 10309,23482,1758,7265,6674,4767,3018,21975,1654,7092,6134,4289,2806,892,0,159,411,248,74,393,47,14,116,103,113,185,57,0,13,115,0,37,0,0,0,12,25
8600000US10310,10310, 10310,15428,2191,4292,3887,2800,2258,14382,2096,3931,3611,2633,2111,623,40,243,167,101,72,253,39,63,72,45,34,120,7,50,37,14,12,50,9,5,0,7,29
8600000US10311,10311, 10311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10312,10312, 10312,43101,3047,14018,11380,8989,5667,41025,2881,13459,10816,8544,5325,1309,52,416,338,280,223,605,114,116,155,158,62,134,0,27,43,7,57,28,0,0,28,0,0
8600000US10314,10314, 10314,63408,6124,20396,16292,11869,8727,59917,5648,19364,15289,11472,8144,2132,191,617,725,252,347,910,193,308,155,106,148,304,68,84,84,19,49,145,24,23,39,20,39
8600000US10451,10451, 10451,30033,9078,7909,7378,3841,1827,28096,8564,7386,6982,3466,1698,1044,367,328,230,96,23,605,79,136,111,173,106,80,0,37,24,19,0,208,68,22,31,87,0
8600000US10452,10452, 10452,46632,16501,12333,11335,4944,1519,43922,15611,11481,10842,4620,1368,1310,473,429,223,90,95,772,184,278,174,85,51,152,0,56,83,13,0,476,233,89,13,136,5
8600000US10453,10453, 10453,49027,16453,13960,12127,4807,1680,45603,15371,12914,11317,4489,1512,1893,661,647,336,151,98,807,261,176,256,114,0,224,27,94,54,12,37,500,133,129,164,41,33
8600000US10454,10454, 10454,21791,9220,6155,4435,1474,507,19927,8405,5642,4160,1236,484,1282,624,318,174,144,22,474,113,184,96,80,1,48,24,5,5,14,0,60,54,6,0,0,0
8600000US10455,10455, 10455,26027,10675,7112,5413,2182,645,24088,9914,6550,5056,1970,598,993,427,275,182,80,29,711,277,188,128,100,18,126,20,84,22,0,0,109,37,15,25,32,0
8600000US10456,10456, 10456,55758,19828,15133,13736,5357,1704,50377,17657,13846,12521,4790,1563,3456,1503,925,766,230,32,1104,376,166,304,172,86,229,18,78,93,17,23,592,274,118,52,148,0
8600000US10457,10457, 10457,43994,15677,11906,10771,3680,1960,39536,14151,10736,9598,3278,1773,2611,1004,699,627,212,69,885,188,241,288,133,35,365,55,104,114,42,50,597,279,126,144,15,33
8600000US10458,10458, 10458,48534,15818,13973,11711,4862,2170,43399,14354,12653,10457,4178,1757,3007,876,752,877,332,170,1024,279,233,331,152,29,294,15,146,17,45,71,810,294,189,29,155,143
8600000US10459,10459, 10459,29419,10932,8422,6642,2621,802,26878,9997,7678,5962,2488,753,1585,552,505,428,82,18,480,158,109,162,28,23,203,49,63,60,23,8,273,176,67,30,0,0
8600000US10460,10460, 10460,37816,14237,9608,9184,3670,1117,34253,12838,8669,8374,3299,1073,2450,1024,668,554,194,10,451,146,118,50,108,29,283,125,64,86,8,0,379,104,89,120,61,5
8600000US10461,10461, 10461,36878,7349,10555,9006,5939,4029,32274,6432,9538,7731,5315,3258,2829,623,797,881,224,304,637,44,80,218,137,158,505,100,50,72,110,173,633,150,90,104,153,136
8600000US10462,10462, 10462,54174,11696,15477,13711,8119,5171,49212,10589,13989,12573,7348,4713,2927,518,1053,834,339,183,824,187,170,141,259,67,467,95,114,40,80,138,744,307,151,123,93,70
8600000US10463,10463, 10463,51752,9503,10289,11523,10568,9869,45923,8432,9209,10396,9139,8747,3078,609,602,592,763,512,1946,182,294,375,564,531,399,54,134,75,67,69,406,226,50,85,35,10
8600000US10464,10464, 10464,3305,265,897,919,581,643,2840,192,833,687,520,608,343,73,64,206,0,0,75,0,0,26,14,35,47,0,0,0,47,0,0,0,0,0,0,0
8600000US10465,10465, 10465,30995,5217,9352,8470,4563,3393,28997,4906,8781,7765,4266,3279,1374,259,327,513,223,52,320,35,131,64,71,19,213,4,47,128,0,34,91,13,66,0,3,9
8600000US10466,10466, 10466,48338,10048,14616,12729,7637,3308,43637,9028,13365,11245,6955,3044,2863,521,908,992,355,87,935,165,196,320,180,74,269,49,51,33,70,66,634,285,96,139,77,37
8600000US10467,10467, 10467,66807,17609,20234,16393,8622,3949,59527,16217,17869,14432,7613,3396,4399,833,1473,1261,699,133,1471,282,429,366,178,216,555,33,183,170,64,105,855,244,280,164,68,99
8600000US10468,10468, 10468,48655,15691,14105,10947,5660,2252,44089,14266,12750,10020,5008,2045,2878,916,795,689,334,144,997,285,270,197,204,41,177,24,104,8,19,22,514,200,186,33,95,0
8600000US10469,10469, 10469,49827,10040,13905,13442,7567,4873,46115,9181,12781,12519,7157,4477,2286,643,703,484,269,187,760,155,164,289,48,104,315,25,120,101,38,31,351,36,137,49,55,74
8600000US10470,10470, 10470,10872,2154,3208,2311,2014,1185,9680,1974,2921,1985,1744,1056,459,68,139,167,46,39,596,106,137,137,160,56,70,0,11,22,20,17,67,6,0,0,44,17
8600000US10471,10471, 10471,15702,1176,2638,3269,3698,4921,14123,1086,2449,2966,3309,4313,384,35,108,91,84,66,724,24,55,123,279,243,310,31,3,79,22,175,161,0,23,10,4,124
8600000US10472,10472, 10472,42321,16137,11788,9518,3638,1240,39079,15303,10686,8569,3392,1129,2098,531,731,676,124,36,600,126,232,107,122,13,205,73,67,65,0,0,339,104,72,101,0,62
8600000US10473,10473, 10473,40211,10011,11821,11400,4833,2146,38811,9543,11505,11088,4653,2022,834,364,196,173,68,33,243,33,76,56,31,47,200,8,28,83,44,37,123,63,16,0,37,7
8600000US10474,10474, 10474,7355,2722,1863,1956,658,156,6344,2300,1612,1706,600,126,592,218,170,196,8,0,337,182,67,41,40,7,42,22,10,0,10,0,40,0,4,13,0,23
8600000US10475,10475, 10475,32261,4782,9097,10067,5239,3076,29879,4400,8067,9505,4922,2985,1336,40,522,513,170,91,728,292,263,26,147,0,88,50,15,23,0,0,230,0,230,0,0,0
8600000US10501,10501, 10501,885,54,196,209,280,146,885,54,196,209,280,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10502,10502, 10502,3918,141,510,662,1084,1521,3764,134,473,626,1026,1505,107,7,0,26,58,16,0,0,0,0,0,0,18,0,8,10,0,0,29,0,29,0,0,0
8600000US10503,10503, 10503,137,0,13,13,45,66,98,0,0,13,45,40,39,0,13,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10504,10504, 10504,5165,119,190,604,1959,2293,4763,119,181,553,1820,2090,243,0,0,41,98,104,78,0,0,10,22,46,47,0,9,0,12,26,34,0,0,0,7,27
8600000US10505,10505, 10505,580,0,171,88,91,230,563,0,166,88,91,218,10,0,5,0,0,5,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10506,10506, 10506,3816,73,307,510,1405,1521,3469,73,283,454,1323,1336,180,0,10,44,66,60,57,0,0,12,16,29,110,0,14,0,0,96,0,0,0,0,0,0
8600000US10507,10507, 10507,5040,1226,978,971,943,922,4368,1091,791,769,817,900,196,4,30,38,102,22,451,130,157,151,13,0,11,0,0,0,11,0,14,1,0,13,0,0
8600000US10509,10509, 10509,13500,1462,3283,3514,2839,2402,12346,1274,3039,3296,2528,2209,292,69,115,73,20,15,657,93,97,107,262,98,162,4,25,38,15,80,43,22,7,0,14,0
8600000US10510,10510, 10510,7131,271,636,1039,2191,2994,6664,258,619,997,2025,2765,296,6,12,33,103,142,42,6,5,0,14,17,109,0,0,0,39,70,20,1,0,9,10,0
8600000US10511,10511, 10511,1571,114,452,484,313,208,1490,114,446,432,302,196,54,0,6,31,5,12,5,0,0,5,0,0,0,0,0,0,0,0,22,0,0,16,6,0
8600000US10512,10512, 10512,18263,1287,5447,5097,3601,2831,17144,1128,5188,4707,3370,2751,519,72,135,143,133,36,388,79,70,144,65,30,165,0,31,103,17,14,47,8,23,0,16,0
8600000US10514,10514, 10514,7858,68,207,625,2983,3975,7166,55,201,614,2676,3620,314,2,0,11,119,182,307,11,6,0,157,133,46,0,0,0,31,15,25,0,0,0,0,25
8600000US10516,10516, 10516,4023,102,721,1079,1193,928,3677,84,707,961,1079,846,119,3,7,48,56,5,173,0,3,65,40,65,38,0,4,5,17,12,16,15,0,0,1,0
8600000US10517,10517, 10517,244,14,75,63,43,49,244,14,75,63,43,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10518,10518, 10518,944,15,42,118,451,318,903,15,42,118,424,304,14,0,0,0,14,0,0,0,0,0,0,0,27,0,0,0,13,14,0,0,0,0,0,0
8600000US10519,10519, 10519,165,0,31,40,1,93,128,0,31,22,1,74,19,0,0,0,0,19,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10520,10520, 10520,9367,618,1294,1770,2868,2817,8214,513,1149,1560,2463,2529,639,70,79,185,118,187,251,21,34,18,137,41,155,14,32,7,42,60,108,0,0,0,108,0
8600000US10522,10522, 10522,7562,403,1349,1274,2168,2368,6835,396,1296,1052,1886,2205,463,7,30,189,149,88,208,0,0,33,116,59,40,0,7,0,17,16,16,0,16,0,0,0
8600000US10523,10523, 10523,6495,1147,1132,1538,1435,1243,5384,955,1028,1303,1184,914,649,127,88,185,95,154,140,3,9,18,44,66,223,62,0,16,67,78,99,0,7,16,45,31
8600000US10524,10524, 10524,3164,131,630,753,801,849,2841,105,577,666,699,794,21,0,0,5,16,0,243,9,53,71,66,44,55,17,0,7,20,11,4,0,0,4,0,0
8600000US10526,10526, 10526,1154,87,62,253,327,425,1061,87,62,228,319,365,48,0,0,10,0,38,45,0,0,15,8,22,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10527,10527, 10527,548,28,34,116,96,274,548,28,34,116,96,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10528,10528, 10528,9203,782,1741,1806,2704,2170,8204,766,1730,1600,2276,1832,455,16,1,99,153,186,239,0,10,0,123,106,105,0,0,86,7,12,200,0,0,21,145,34
8600000US10530,10530, 10530,9944,266,1192,1736,2771,3979,8963,243,1103,1652,2533,3432,522,17,10,84,162,249,163,0,18,0,27,118,296,6,61,0,49,180,0,0,0,0,0,0
8600000US10532,10532, 10532,3518,324,886,725,816,767,3369,324,848,690,790,717,98,0,0,31,26,41,21,0,8,4,0,9,0,0,0,0,0,0,30,0,30,0,0,0
8600000US10533,10533, 10533,4801,130,496,700,1502,1973,4516,113,479,681,1390,1853,160,0,0,0,81,79,71,0,0,19,11,41,20,0,0,0,20,0,34,17,17,0,0,0
8600000US10535,10535, 10535,382,17,140,33,121,71,364,17,140,33,103,71,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US10536,10536, 10536,7057,241,831,1125,2508,2352,6735,240,803,1072,2358,2262,155,1,0,25,76,53,134,0,17,28,65,24,33,0,11,0,9,13,0,0,0,0,0,0
8600000US10537,10537, 10537,1348,72,286,287,483,220,1306,72,286,287,483,178,42,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
